Carlton,Richmond, 2.53 , 1.53 ,,,,,,,,,
Melbourne,Gold Coast, 2.97 , 1.41 ,,0,,,,,,,
Sydney,Essendon, 1.31 , 3.49 ,,0,,,,,,,
Brisbane,Collingwood, 1.48 , 2.67 ,,0,,,,,,,
Western Bulldogs,West Coast, 2.52 , 1.53 ,,0,,,,,,,
St Kilda,GWS Giants, 3.43 , 1.32 ,,0,,,,,,,
Adelaide,North Melbourne, 1.70 , 2.14 ,,0,,,,,,,
Fremantle,Port Adelaide, 1.67 , 2.22 ,,0,,,,,,,
Hawthorn,Geelong, 1.36 , 3.16 ,,0,,,,,,,
West Coast,Carlton, 1.53 , 2.54 ,,0,,,,,,,
Richmond,Western Bulldogs, 1.35 , 3.26 ,,0,,,,,,,
GWS Giants,Melbourne, 1.45 , 2.77 ,,0,,,,,,,
Collingwood,Adelaide, 2.95 , 1.41 ,,0,,,,,,,
Port Adelaide,Sydney, 1.61 , 2.34 ,,0,,,,,,,
Gold Coast,St Kilda, 1.19 , 4.85 ,,0,,,,,,,
Geelong,Fremantle, 2.26 , 1.65 ,,0,,,,,,,
Essendon,Hawthorn, 4.65 , 1.20 ,,0,,,,,,,
North Melbourne,Brisbane, 1.14 , 5.78 ,,0,,,,,,,
Collingwood,St Kilda, 1.40 , 2.98 ,,0,,,,,,,
Carlton,Essendon, 3.83 , 1.27 ,,0,,,,,,,
Adelaide,Melbourne, 1.08 , 8.24 ,,0,,,,,,,
Sydney,GWS Giants, 1.16 , 5.40 ,,0,,,,,,,
North Melbourne,Port Adelaide, 1.90 , 1.90 ,,0,,,,,,,
Brisbane,Richmond, 2.72 , 1.46 ,,0,,,,,,,
Hawthorn,Western Bulldogs, 1.06 , 9.69 ,,0,,,,,,,
Geelong,Gold Coast, 1.17 , 5.20 ,,0,,,,,,,
West Coast,Fremantle, 3.88 , 1.27 ,,0,,,,,,,
Richmond,Melbourne, 1.31 , 3.46 ,,0,,,,,,,
Essendon,Collingwood, 1.41 , 2.91 ,,0,,,,,,,
St Kilda,Carlton, 3.14 , 1.36 ,,0,,,,,,,
GWS Giants,Gold Coast, 1.39 , 2.97 ,,0,,,,,,,
Port Adelaide,Hawthorn, 2.43 , 1.56 ,,0,,,,,,,
Fremantle,Sydney, 1.60 , 2.36 ,,0,,,,,,,
Brisbane,West Coast, 2.70 , 1.46 ,,0,,,,,,,
Geelong,North Melbourne, 2.26 , 1.63 ,,0,,,,,,,
Western Bulldogs,Adelaide, 3.59 , 1.29 ,,0,,,,,,,
Carlton,Collingwood, 2.41 , 1.58 ,,0,,,,,,,
Richmond,Geelong, 1.63 , 2.28 ,,0,,,,,,,
Sydney,Western Bulldogs, 1.15 , 5.36 ,,1,,,,,,,
Gold Coast,Brisbane, 2.08 , 1.76 ,,0,,,,,,,
