@relation parsed

@attribute home {Carlton,Melbourne,'Sydney Swans','Brisbane Lions','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,Hawthorn,'West Coast Eagles',Richmond,'GWS Giants',Collingwood,'Port Adelaide','Gold Coast Suns','Geelong Cats',Essendon,'North Melbourne'}
@attribute away {Richmond,'Gold Coast Suns',Essendon,Collingwood,'West Coast Eagles','GWS Giants','North Melbourne','Port Adelaide','Geelong Cats',Carlton,'Western Bulldogs',Melbourne,'Adelaide Crows','Sydney Swans','St Kilda',Fremantle,Hawthorn,'Brisbane Lions'}
@attribute percent numeric
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute zzzz numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,ANZ,G,MRVL,AO,DS,UNSW,MS,GMHBA,SCG,UTAS,WS,BA,GS,TP,TIO,CS,AAJS,MARS,OS,RS}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs',Carlton,'St Kilda','Brisbane Lions',Fremantle,Melbourne,Hawthorn,'Sydney Swans','Adelaide Crows','West Coast Eagles',Collingwood,'Port Adelaide','North Melbourne',Essendon,Richmond,'Gold Coast Suns','GWS Giants','Geelong Cats'}
@attribute ptpb {Richmond,'West Coast Eagles','Gold Coast Suns','North Melbourne',Essendon,'GWS Giants','Port Adelaide','Geelong Cats',Collingwood,Hawthorn,Melbourne,'Sydney Swans','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,'Brisbane Lions',Carlton}
@attribute Result {loss,win}

@data
'Gold Coast Suns','Adelaide Crows',0.083094,8.752855,5.010465,211.335425,128.948997,340.284422,97.815879,2.497399,55.085613,133.202588,204.413544,337.616132,40.756359,7.843639,11.654532,48.874191,46.505891,67.63258,54.847689,17.831622,18.21655,1474.40719,16.700284,32.184914,34.685054,5.765177,58.624742,71.571709,66.860644,6.43031,15.492202,21.738193,37.713416,32.205709,22.527847,25.712231,23.995163,6.178101,13.06785,204.819723,140.464168,345.283891,81.805621,8.749235,51.532209,134.872034,202.878369,337.750403,42.354991,7.192396,9.904377,33.641273,38.301654,71.199296,50.352129,16.082369,12.73944,1405.467773,10.449736,27.280721,49.989576,2.741118,30.107887,74.744174,76.980184,5.626963,20.743819,14.502489,49.009799,26.605697,26.251095,22.844195,21.311368,MS,-80.735981,-48.729906,Richmond,'Port Adelaide',loss
'Geelong Cats','St Kilda',0.828507,8.219641,12.639952,214.092011,145.119158,359.211169,104.355178,4.663488,56.602322,128.962244,225.893852,354.856096,47.088734,10.160632,11.978195,36.484161,46.622787,73.124841,61.177851,12.898168,25.60624,1506.169519,11.42662,29.851119,39.306292,3.487558,32.585928,68.306002,71.223371,11.320136,24.848675,17.102832,53.089464,26.979362,21.167665,25.577345,18.854421,10.740864,7.665074,206.387376,138.681143,345.068518,93.329574,4.210265,83.458442,143.62547,205.905999,349.53147,48.446686,8.903091,11.535057,36.448022,56.604808,70.758879,56.503171,16.913614,23.723195,1562.675596,16.552964,30.586099,38.694477,8.114982,52.495057,61.876567,62.84993,12.09581,20.56659,22.1198,42.529169,27.494798,24.366253,23.74653,30.88189,GMHBA,-8.365538,-38.335054,'Western Bulldogs','North Melbourne',win
Richmond,'GWS Giants',0.542768,21.294991,11.22705,219.188835,187.182779,406.371615,102.164999,7.081654,59.347052,144.873993,262.664782,407.538775,55.231683,20.644199,9.775088,32.493164,53.468758,75.767663,56.949843,18.86073,17.825743,1709.83108,21.347347,25.795923,30.781253,17.834515,65.31642,66.891423,70.392638,8.602655,32.311176,38.340271,58.310706,30.011641,29.863394,24.710663,25.72245,10.934625,8.447742,226.551155,158.461704,385.012859,93.961726,5.211271,75.613978,160.762799,223.141662,383.904461,56.747532,10.989468,11.316782,47.031272,38.436384,66.736665,54.699899,15.912787,19.128856,1658.382481,17.826361,48.974467,37.002159,7.307078,42.634694,74.296639,65.738741,18.526372,25.772361,19.363728,45.433872,25.082286,27.456161,27.036387,22.566126,MCG,77.35575,-16.240975,'Gold Coast Suns','Brisbane Lions',win
'Western Bulldogs',Melbourne,0.549117,10.032962,10.278365,220.422788,140.088818,360.511605,87.62253,2.696503,71.412635,141.323501,214.524393,355.847894,51.716373,9.132611,8.423058,25.275635,66.967121,72.770274,52.696047,25.439327,14.671278,1565.461706,9.406965,34.638861,40.753892,7.121844,44.41695,76.208445,74.308946,5.632627,22.964163,19.396806,44.370953,24.417472,21.565301,28.383683,23.409962,14.239289,13.623459,220.734817,156.054568,376.789385,102.685255,1.463595,56.624159,140.389278,231.789287,372.178565,54.482594,15.394243,10.455117,45.267044,40.503173,72.696247,59.308163,23.701053,24.907526,1598.944802,16.838033,27.235233,32.982602,11.499151,50.575968,68.470112,70.57377,13.544498,28.276805,26.335834,52.33859,27.823284,25.216099,24.057707,11.111092,MRVL,16.444716,-1.104435,'Geelong Cats',Carlton,win
'Port Adelaide','Brisbane Lions',0.773154,13.195281,11.033821,258.097403,177.109953,435.207356,120.533582,4.28042,58.315889,144.596427,279.548017,424.144443,66.045911,10.973757,10.515075,45.282201,60.563525,72.627486,48.282205,14.751347,15.848645,1824.917163,17.180459,37.442749,35.528543,10.418647,46.674094,82.632087,79.348251,16.153654,27.735338,20.032015,41.997991,27.222199,26.724448,25.680577,24.720489,14.220334,11.214229,238.678461,113.992625,352.671086,93.081496,5.003391,75.059811,139.287014,198.520246,337.80726,51.61693,10.518883,10.626456,53.149302,45.750064,69.260453,53.652021,17.450654,15.52537,1641.418795,15.778037,37.85597,44.800888,5.765535,50.77228,62.503619,74.053109,16.282706,28.133143,27.737303,54.589575,29.531705,28.995033,23.05387,27.82374,AO,41.900935,23.000011,'Adelaide Crows','GWS Giants',loss
'Adelaide Crows',Essendon,0.738656,19.63562,13.01357,242.563945,207.292834,449.856778,111.561124,12.949847,65.506442,141.374407,300.575674,441.950081,60.470998,14.238479,9.180875,39.528255,44.460331,74.879859,62.870426,16.816474,21.747888,1859.493555,15.089947,29.456144,34.797915,15.748224,50.901577,65.348835,79.396037,8.325393,36.948764,31.220498,60.28196,26.321139,29.250219,27.568839,23.262274,11.83555,13.010278,214.860912,142.075705,356.936618,77.690966,12.208914,68.326444,147.485465,203.290038,350.775503,59.056059,11.174672,13.437846,38.574109,53.035286,68.602616,54.150137,21.256529,15.177226,1530.156897,17.779417,32.265435,38.20272,5.247015,39.65344,80.71606,77.314736,8.897213,29.995984,20.138286,50.859116,30.472396,23.682258,29.62005,20.88746,AO,66.254019,5.601688,'Gold Coast Suns','North Melbourne',loss
Richmond,'Port Adelaide',0.661441,14.658998,15.04541,225.437767,179.836556,405.274323,87.633,14.216331,62.26941,132.174799,261.332956,393.507755,58.246337,12.92884,7.555018,32.898633,56.293752,72.993533,55.389969,20.572146,18.765149,1645.966216,14.269469,29.159185,46.156251,10.766903,47.703284,70.978285,76.478528,7.320531,30.462235,25.268054,52.302141,33.002328,24.972679,25.942133,25.14449,7.439056,12.606764,238.019481,158.621991,396.641471,75.306716,2.456084,71.663178,156.919285,213.509603,370.428889,56.409182,6.994751,6.903015,41.05644,65.712705,63.085497,66.456441,29.350269,18.369729,1612.983433,13.436092,45.48855,39.105709,2.883729,33.334819,80.526417,80.66965,13.630731,21.547068,12.886403,37.999598,28.44444,25.34489,24.136115,23.944098,MCG,37.07115,-30.019813,'GWS Giants','Brisbane Lions',win
Carlton,'Gold Coast Suns',0.49904,10.063617,14.098078,218.256182,135.354663,353.610845,85.459564,16.133397,77.399398,144.313172,205.534105,349.847276,54.074938,11.335848,10.273591,51.46913,44.963371,65.570552,50.704898,16.120712,18.306572,1575.173352,14.597708,40.611377,40.976286,6.680455,38.044789,65.840598,63.676947,12.058058,26.622742,19.113827,49.443567,28.384443,25.356931,18.232058,21.672826,8.150571,7.402093,203.867085,105.789799,309.656884,87.563176,2.09948,71.817123,128.240518,175.282709,303.523226,40.951272,4.768728,8.730906,40.974838,44.501178,67.046516,59.769538,22.766324,17.24331,1440.481438,16.340057,34.436983,39.737011,2.753035,42.204948,77.514342,64.572129,14.086062,19.89844,19.947639,48.502683,29.441142,28.505569,29.142446,23.799033,MRVL,4.915824,-92.147196,'Sydney Swans','Adelaide Crows',win
'GWS Giants',Collingwood,0.59443,9.386925,12.089548,229.310231,164.492341,393.802572,94.792345,3.442254,50.322796,154.55256,231.028332,385.580892,59.349506,8.597894,10.263356,45.406254,42.887277,64.627333,58.13998,18.382557,20.625771,1570.076496,15.565272,39.794893,43.400432,5.461416,37.326939,76.459328,70.747748,12.505274,25.154472,15.872746,42.446774,25.016457,23.491232,21.407277,22.513225,10.505993,11.302992,213.665348,184.734926,398.400274,82.886195,10.588738,63.601523,157.867662,239.429284,397.296946,48.720678,8.096448,10.63939,36.295525,55.18227,69.595265,45.88745,21.621965,17.278446,1590.423837,15.342033,35.999009,34.169083,8.173801,43.603981,67.019071,74.182344,15.144247,24.03493,21.747477,49.85029,30.460895,24.458851,21.555019,20.038092,GS,-24.848195,-1.138109,Richmond,'West Coast Eagles',win
'Brisbane Lions','North Melbourne',0.302093,14.044067,12.642846,229.335692,107.598525,336.934217,58.616299,1.800678,73.411962,153.457403,166.104049,319.561452,54.323386,11.703777,6.925291,55.42986,62.750013,64.332091,63.530404,18.690131,29.505074,1451.483759,15.155607,48.571194,44.960178,9.153107,50.154456,75.700724,80.410622,16.056541,28.026629,25.947461,51.637915,28.906341,27.799007,25.610774,27.564748,12.758815,9.35322,187.274774,135.128496,322.40327,66.164073,10.975552,54.774942,152.643073,171.822309,324.465381,51.605957,13.486085,15.507551,39.339595,60.709022,68.627958,52.153028,16.533453,19.617181,1330.695866,11.422682,33.109089,46.203327,8.120915,47.217492,74.352541,78.424964,9.629088,26.936969,24.676962,52.20408,29.875768,24.53566,26.621637,22.739167,G,43.000002,3.546033,'Port Adelaide',Essendon,win
