@relation parsed

@attribute home {Collingwood,Fremantle,'GWS Giants','Sydney Swans','Gold Coast Suns',Richmond,Carlton,'Port Adelaide','Geelong Cats','Adelaide Crows','North Melbourne',Essendon,Hawthorn,'Brisbane Lions','St Kilda',Melbourne,'West Coast Eagles','Western Bulldogs'}
@attribute away {Fremantle,Collingwood,'Sydney Swans','GWS Giants',Richmond,'Gold Coast Suns','Port Adelaide',Carlton,'Adelaide Crows','Geelong Cats',Essendon,'North Melbourne','Brisbane Lions',Hawthorn,Melbourne,'St Kilda','Western Bulldogs','West Coast Eagles'}
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa numeric
@attribute waa {MRVL,GS,MS,GMHBA,UTAS,DS,AO,ANZ,G,MCG,UNSW,SCG,WS,TP,TIO,BA,CS,AAJS,MARS,OS,RS}
@attribute xaa numeric
@attribute ptpa numeric
@attribute ptpb {'North Melbourne','Brisbane Lions',Melbourne,'Sydney Swans',Carlton,'Geelong Cats',Collingwood,Richmond,'GWS Giants',Fremantle,Hawthorn,'Adelaide Crows','St Kilda','Western Bulldogs','West Coast Eagles',Essendon,'Gold Coast Suns','Port Adelaide'}
@attribute adfkjfasd {'Brisbane Lions','North Melbourne','Sydney Swans',Melbourne,'Geelong Cats',Carlton,Richmond,Collingwood,Fremantle,'GWS Giants','Adelaide Crows',Hawthorn,'Western Bulldogs','St Kilda',Essendon,'West Coast Eagles','Gold Coast Suns','Port Adelaide'}
@attribute Result {loss,lwin,win}

@data
Collingwood,Fremantle,5,16,200,157,357,76,9,83,145,205,350,47,9,7,25,54,65.8,51,13,14,1516,14,24,47,3,26.3,74,68,11,19,10.6,40.4,26,28,29,34,17,14,211,153,364,82,4,71,146,211,357,65,14,10,46,65,74.2,39,14,13,1606,9,24,42,10,53.1,68,74,19,32,26.2,49.2,28,29,33,28,MRVL,0,0,?,?,loss
Fremantle,Collingwood,17,14,211,153,364,82,4,71,146,211,357,65,14,10,46,65,74.2,39,14,13,1606,9,24,42,10,53.1,68,74,19,32,26.2,49.2,28,29,33,28,5,16,200,157,357,76,9,83,145,205,350,47,9,7,25,54,65.8,51,13,14,1516,14,24,47,3,26.3,74,68,11,19,10.6,40.4,26,28,29,34,MRVL,0,0,?,?,lwin
'GWS Giants','Sydney Swans',15,9,219,129,348,67,7,88,169,172,341,51,8,8,58,62,62.4,51,25,24,1578,13,42,41,7,60,77,75,13,25,29.4,49,28,26,24,29,9,13,196,124,320,69,5,76,159,163,322,51,8,9,37,70,62.5,66,24,25,1400,14,22,36,4,40.9,74,78,13,22,17.6,43.1,27,24,23,20,GS,0,0,?,?,win
'Sydney Swans','GWS Giants',9,13,196,124,320,69,5,76,159,163,322,51,8,9,37,70,62.5,66,24,25,1400,14,22,36,4,40.9,74,78,13,22,17.6,43.1,27,24,23,20,15,9,219,129,348,67,7,88,169,172,341,51,8,8,58,62,62.4,51,25,24,1578,13,42,41,7,60,77,75,13,25,29.4,49,28,26,24,29,GS,0,0,?,?,loss
'Gold Coast Suns',Richmond,12,15,205,169,374,80,20,58,157,207,364,48,11,8,31,61,67.4,48,20,22,1497,11,21,48,9,42.9,65,81,12,28,25,58.3,25,18,13,19,10,9,218,188,406,87,5,64,151,256,407,58,9,7,42,63,71.9,57,22,20,1620,13,33,35,8,52.6,81,66,15,19,17.2,32.8,27,21,18,28,MS,0,0,?,?,win
Richmond,'Gold Coast Suns',10,9,218,188,406,87,5,64,151,256,407,58,9,7,42,63,71.9,57,22,20,1620,13,33,35,8,52.6,81,66,15,19,17.2,32.8,27,21,18,28,12,15,205,169,374,80,20,58,157,207,364,48,11,8,31,61,67.4,48,20,22,1497,11,21,48,9,42.9,65,81,12,28,25,58.3,25,18,13,19,MS,0,0,?,?,loss
Carlton,'Port Adelaide',12,15,170,140,310,62,14,57,141,167,308,43,15,10,45,69,66.5,41,20,14,1314,11,30,29,8,46.2,58,52,6,26,27.9,60.5,21,22,19,22,18,12,221,141,362,108,8,73,143,220,363,47,14,15,34,44,72.1,47,14,20,1669,16,26,30,9,56.3,52,59,11,32,38.3,68.1,27,22,20,25,MRVL,0,0,?,?,loss
'Port Adelaide',Carlton,18,12,221,141,362,108,8,73,143,220,363,47,14,15,34,44,72.1,47,14,20,1669,16,26,30,9,56.3,52,59,11,32,38.3,68.1,27,22,20,25,12,15,170,140,310,62,14,57,141,167,308,43,15,10,45,69,66.5,41,20,14,1314,11,30,29,8,46.2,58,52,6,26,27.9,60.5,21,22,19,22,MRVL,0,0,?,?,lwin
'Geelong Cats','Adelaide Crows',18,11,214,150,364,91,8,82,149,218,367,62,13,13,42,41,76.9,44,16,12,1684,15,22,35,11,52.9,66,68,14,34,29,54.8,26,26,22,30,12,9,178,192,370,70,9,60,134,227,361,47,10,8,31,50,73.5,51,12,16,1444,15,20,44,8,60,68,66,18,20,25.5,42.6,29,31,22,33,GMHBA,0,0,?,?,win
'Adelaide Crows','Geelong Cats',12,9,178,192,370,70,9,60,134,227,361,47,10,8,31,50,73.5,51,12,16,1444,15,20,44,8,60,68,66,18,20,25.5,42.6,29,31,22,33,18,11,214,150,364,91,8,82,149,218,367,62,13,13,42,41,76.9,44,16,12,1684,15,22,35,11,52.9,66,68,14,34,29,54.8,26,26,22,30,GMHBA,0,0,?,?,loss
