@relation 'parsed-weka.filters.supervised.attribute.AddClassification-classification-Wweka.classifiers.bayes.BayesNet -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5'

@attribute home {Carlton,Melbourne,'Sydney Swans','Brisbane Lions','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,Hawthorn,'West Coast Eagles',Richmond,'GWS Giants',Collingwood,'Port Adelaide','Gold Coast Suns','Geelong Cats',Essendon,'North Melbourne'}
@attribute away {Richmond,'Gold Coast Suns',Essendon,Collingwood,'West Coast Eagles','GWS Giants','North Melbourne','Port Adelaide','Geelong Cats',Carlton,'Western Bulldogs',Melbourne,'Adelaide Crows','Sydney Swans','St Kilda',Fremantle,Hawthorn,'Brisbane Lions'}
@attribute percent numeric
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute zzzz numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,ANZ,G,MRVL,AO,DS,UNSW,MS,GMHBA,SCG,UTAS,WS,BA,GS,TP,TIO,CS,AAJS,MARS,OS,RS}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs',Carlton,'St Kilda','Brisbane Lions',Fremantle,Melbourne,Hawthorn,'Sydney Swans','Adelaide Crows','West Coast Eagles',Collingwood,'Port Adelaide','North Melbourne',Essendon,Richmond,'Gold Coast Suns','GWS Giants','Geelong Cats'}
@attribute ptpb {Richmond,'West Coast Eagles','Gold Coast Suns','North Melbourne',Essendon,'GWS Giants','Port Adelaide','Geelong Cats',Collingwood,Hawthorn,Melbourne,'Sydney Swans','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,'Brisbane Lions',Carlton}
@attribute Result {loss,win}
@attribute classification {loss,win}

@data
'West Coast Eagles',Essendon,0.782843,9.819462,11.500403,232.062677,137.682043,369.74472,109.121876,4.067984,55.305174,133.299057,231.877984,365.177041,51.85668,11.287556,10.315701,26.9611,65.669254,68.295783,47.332702,13.70388,13.437234,1590.759756,15.629269,41.070516,41.346726,5.748826,40.582421,75.502846,61.506708,12.189405,24.945027,19.225576,48.029804,27.658653,24.422526,27.281813,26.957474,10.290677,5.826369,215.828663,150.055301,365.883964,89.082732,11.699981,64.063509,127.303391,220.389075,347.692466,39.68378,8.195019,8.869724,17.063845,43.943746,69.309632,52.093578,11.936336,17.505739,1513.86049,11.644018,23.005585,47.623565,7.119952,58.051562,66.754606,62.802516,9.036345,17.687424,25.878537,44.560951,28.68035,28.097836,22.330216,23.470457,OS,-30.819447,-7.367065,Hawthorn,Collingwood,win,win
'GWS Giants','Western Bulldogs',0.594419,17.660505,7.603462,234.874196,140.56528,375.439475,112.675251,3.956956,68.289685,128.964515,231.445442,360.409957,50.416342,14.492454,11.934097,29.954394,47.809721,73.553653,62.060937,15.29948,28.254504,1670.475653,13.163236,40.187827,44.023514,14.191966,62.604245,64.768541,66.826416,8.582944,27.553354,34.330693,54.190928,27.054401,25.805663,29.07529,20.029601,18.207104,12.785488,235.010156,175.048705,410.058861,96.504008,6.696892,64.235717,144.687223,264.303546,408.990769,58.262217,15.629736,10.341279,30.106948,54.979264,74.38851,39.855727,17.329324,11.257225,1735.243744,15.058744,36.146875,35.75896,12.249947,53.541141,64.30623,73.155306,14.082325,33.972928,31.29121,58.378511,28.246265,25.979348,26.946155,27.99774,GS,46.072522,40.226668,'Gold Coast Suns','Adelaide Crows',win,win
'Geelong Cats',Collingwood,0.646006,17.168848,14.782984,223.085902,135.003201,358.089104,69.682488,4.243362,73.181448,169.813004,174.46341,344.276414,62.499214,17.177525,10.881997,43.112403,44.737723,64.773518,62.739573,21.828619,20.153109,1561.777385,19.005394,44.899262,39.60314,11.203373,47.39149,77.876382,80.15702,15.960311,35.728139,27.267926,56.966199,31.293465,30.644367,25.213703,24.562545,11.170208,15.135187,232.203371,189.383471,421.586842,116.192697,11.138982,53.193191,139.223671,280.179419,419.403091,56.542766,15.373318,9.697961,41.106707,44.53678,73.281459,56.918137,14.860648,13.86197,1728.166811,14.744662,25.914304,28.062091,8.924683,39.853645,62.051777,67.017356,7.033801,27.768322,19.745264,49.118838,27.993949,22.814685,25.25418,20.079362,MCG,55.812091,20.292535,Carlton,Essendon,loss,win
'Brisbane Lions',Richmond,0.156554,8.814211,8.489769,219.557206,151.866086,371.423292,89.417127,6.811763,74.22857,148.103773,220.758407,368.86218,51.457429,8.234477,13.986747,43.154908,36.03704,74.685103,51.712482,21.716908,19.502432,1590.921695,16.21505,42.953829,36.755773,6.415178,49.31521,74.658285,67.20489,15.042308,17.852674,16.959203,34.375734,24.63897,20.221299,24.733479,24.644004,12.137898,9.941699,197.27958,159.435509,356.71509,83.920361,9.219214,50.385297,135.294987,222.844757,358.139745,49.951632,14.860603,8.669412,40.64569,68.120083,74.081344,58.817497,19.073061,21.957297,1437.852286,11.228113,32.141066,38.38657,10.481585,50.622317,67.915711,77.390623,2.185429,24.15811,24.512414,48.43248,28.087232,21.637758,23.26438,25.880329,G,-18.372416,23.720261,Richmond,'Brisbane Lions',loss,loss
'Geelong Cats','West Coast Eagles',0.45585,9.03377,10.156597,195.81718,138.20064,334.017821,73.136498,0.848672,74.63629,159.562601,167.692682,327.255283,52.499843,8.235505,14.976399,30.222481,49.747545,65.354704,60.547915,17.965724,17.630622,1440.355477,14.801079,36.979852,35.120628,6.240675,34.918298,74.775276,68.831404,9.592062,24.745628,16.653585,46.59324,29.258693,28.128873,18.042741,14.912509,15.563892,13.50008,252.012535,126.736409,378.748944,124.224375,5.613597,45.461035,137.059811,245.575597,382.635408,63.971336,12.657511,15.66314,35.79222,57.933851,73.739157,49.46654,16.340776,15.487447,1674.151951,20.125854,22.214103,33.869345,9.149765,45.876484,66.300569,73.901342,8.837881,33.789005,24.165115,52.565961,27.531731,28.884505,26.456363,23.391495,MCG,3.162418,37.836111,Collingwood,Essendon,win,win
'Brisbane Lions','GWS Giants',0.205033,8.162842,15.297954,228.711441,128.773217,357.484658,95.483425,2.962353,59.645714,155.220755,208.951681,364.172436,62.291486,12.046895,17.197349,39.830982,51.207408,72.377021,59.142496,24.343382,21.500486,1530.184339,18.24301,37.590766,36.151155,7.683036,31.943042,68.531657,75.040978,15.008462,26.770535,13.231841,42.555147,24.927794,24.04426,28.946696,22.928801,16.332101,15.120692,238.174839,152.913056,391.087895,84.93505,6.391391,62.457937,159.392903,227.889088,387.281991,70.883268,11.698491,9.586819,41.990879,52.761944,72.470731,70.012187,25.459896,32.850901,1604.495131,14.632647,43.037565,30.404703,10.038393,48.040849,67.353708,74.165283,8.916589,34.310671,23.746139,48.758186,25.41088,27.161133,25.815058,26.00592,G,-41.274483,55.614504,Richmond,'Western Bulldogs',loss,loss
Collingwood,'GWS Giants',0.414573,9.434042,8.627037,238.440674,151.476694,389.917368,121.638539,5.427796,88.238638,136.644734,249.635884,386.280618,45.708553,8.674664,11.539592,46.621341,48.107356,71.616292,53.783627,16.57213,16.372394,1812.833362,6.948932,39.182861,37.612418,4.984937,45.890729,65.210355,72.603471,14.20676,20.753664,20.669053,45.183768,26.59879,27.562937,16.050836,15.015872,12.86642,11.824138,198.034968,128.182611,326.217579,66.58701,5.278278,74.091587,136.678581,183.177818,319.856398,49.376654,10.339698,9.117364,29.198176,60.952389,70.494146,70.002437,22.691979,31.37018,1390.499026,12.926529,33.607513,46.080941,7.607679,49.60817,65.470742,71.633057,12.983318,26.062134,26.589228,53.351637,26.082176,27.432227,25.163012,24.201184,MCG,12.058507,13.522901,'Geelong Cats','Brisbane Lions',loss,loss
Richmond,'Geelong Cats',0.52521,16.82758,5.18834,188.255916,135.087102,323.343018,63.984072,20.243843,72.477059,142.258997,170.968952,313.227949,53.190326,8.572121,10.533882,47.329138,55.224017,71.696269,68.563499,21.414612,24.391459,1416.370457,13.245623,34.428213,51.677314,8.496317,67.724463,75.183142,69.078125,14.837086,24.831622,31.542483,46.726496,27.617446,23.327552,29.652876,24.176066,12.206754,10.031319,217.563436,146.040128,363.603564,93.0273,3.369734,63.727258,152.71252,209.538536,362.251057,59.299969,15.247101,15.79528,17.244496,44.349509,73.470941,54.509583,17.193145,23.526124,1523.271095,17.960216,23.39597,35.024126,6.048135,39.46366,67.755055,72.166281,13.918412,30.549126,20.370717,51.318648,29.851739,27.625775,22.608548,24.982502,MCG,42.344052,16.632484,'Brisbane Lions','West Coast Eagles',win,win
Richmond,'GWS Giants',0.577675,12.965516,11.437668,194.451183,119.01742,313.468604,78.396814,12.848769,62.495412,128.451799,182.99379,311.44559,55.438065,16.114424,14.106776,36.665828,55.844803,75.059254,55.3127,19.482922,19.278292,1392.074091,12.649125,26.885643,43.935463,11.299263,53.544893,67.836628,69.015625,10.167417,24.166324,23.428497,43.665299,26.523489,24.66551,25.930575,21.835213,8.973284,8.764828,230.006994,105.636522,335.643516,77.317402,1.855656,85.218317,158.535716,178.235564,336.77128,49.075331,7.66794,6.623473,18.639635,69.790478,64.738829,62.800488,18.138396,25.474036,1495.699805,12.585306,50.721503,44.416188,6.321536,43.601634,73.894148,72.726611,7.396664,20.412427,18.357846,41.710327,24.216435,21.486445,27.032602,22.840237,MCG,23.66881,5.90458,'Geelong Cats',Collingwood,win,win
Richmond,Carlton,0.929799,16.193103,11.887534,217.290237,134.203484,351.493721,106.079363,20.169754,54.899082,132.09036,217.398758,349.489118,58.287613,14.422885,14.021355,40.933166,46.368961,75.491851,50.26254,19.896584,14.255658,1582.414818,13.529825,29.377129,38.387093,11.859853,51.908979,64.767326,71.403125,7.633483,31.233265,27.725699,53.45306,25.304698,31.933102,27.186115,22.367043,8.443524,12.680326,211.322256,111.474391,322.796647,61.913181,9.966601,68.35465,137.9981,163.370594,301.368694,49.438341,7.128021,4.472466,38.494686,49.260094,60.255717,57.154733,19.10836,20.981908,1371.272651,14.270694,37.580519,43.708222,5.701548,36.377244,79.586166,79.066091,7.814404,23.143336,17.039687,46.897244,27.346457,31.953943,26.329807,23.362987,MCG,75.933762,-53.808581,'GWS Giants','Geelong Cats',win,win
'Western Bulldogs',Collingwood,0.481069,10.041421,8.157098,191.002031,146.209741,337.211772,69.700802,12.539378,67.247143,128.937445,196.060709,324.998154,41.252443,7.125947,11.668256,35.62139,50.995853,73.277702,60.771145,30.665865,24.651445,1403.848749,13.011749,32.229375,54.351792,5.649989,50.708228,73.661246,69.031061,6.816465,19.594586,23.538242,46.235702,26.649253,30.19587,26.389231,23.599548,7.486808,9.725407,214.888135,132.695339,347.583474,81.127708,7.485559,93.647728,145.728947,193.127177,338.856124,51.541711,7.334933,9.507918,71.724268,54.421471,66.803258,58.756725,22.514426,16.874479,1623.366672,9.389786,34.836572,40.322484,3.396987,40.298146,71.442071,76.120694,23.641352,18.550733,14.693811,36.236754,26.319758,23.512587,23.210167,27.003175,MRVL,-38.354666,-0.788299,'GWS Giants','GWS Giants',loss,loss
Essendon,Fremantle,0.556944,9.258135,6.765274,214.365733,132.41106,346.776793,93.816546,19.939996,48.812702,118.260678,221.677815,339.938493,40.736756,4.839004,8.973945,17.812769,45.588749,73.061926,50.418716,15.187267,17.101148,1426.772098,14.328804,24.601117,48.724713,5.42399,49.530312,74.150921,62.960503,8.207269,18.737485,22.775707,45.95219,25.73607,26.619567,24.466043,23.694091,9.543371,8.056792,198.155892,152.158025,350.313918,82.023639,3.870748,48.968096,141.588965,205.196044,346.785009,37.114848,11.424653,9.814749,32.414523,53.147087,67.872144,57.763855,21.150594,14.208756,1416.398889,15.759522,27.933634,39.997907,6.223703,53.832102,72.60598,56.924115,4.117398,18.154911,27.756423,50.406961,27.740305,25.534739,29.670868,28.080843,MRVL,-45.473413,-39.460835,'West Coast Eagles','Port Adelaide',win,win
'Adelaide Crows','Sydney Swans',0.519391,11.848937,9.439553,207.614116,196.680659,404.294775,79.628004,3.601469,62.307936,151.485784,243.442213,394.927997,47.922462,13.617551,16.696652,55.451874,40.170525,72.038431,49.368248,13.941044,15.613808,1604.37936,20.723206,33.589405,39.202227,7.447536,52.626106,72.66671,64.847321,2.857237,22.267197,24.428161,46.557535,25.141205,29.306192,28.166884,29.424209,16.318489,6.919007,224.700077,135.251201,359.951277,103.532606,7.162345,59.387122,130.488853,216.359599,346.848452,49.54309,14.95773,15.425743,19.211057,42.292008,75.227538,57.350469,19.992883,22.543117,1568.276485,17.276551,24.94588,41.71528,12.862428,61.770168,63.32652,64.580271,8.573638,26.382337,32.78416,53.312726,30.186982,26.043387,25.48716,26.917303,AO,-37.974896,42.92802,'Western Bulldogs','St Kilda',loss,loss
