@relation parsed

@attribute home {Richmond,'Western Bulldogs',Essendon,'Adelaide Crows','GWS Giants','Gold Coast Suns','North Melbourne',Hawthorn,'West Coast Eagles',Collingwood,'Geelong Cats','Brisbane Lions',Carlton,'Port Adelaide','Sydney Swans','St Kilda',Melbourne,Fremantle}
@attribute away {Carlton,Collingwood,Fremantle,'Sydney Swans','Geelong Cats','Port Adelaide','St Kilda','Brisbane Lions',Melbourne,Richmond,Hawthorn,'Adelaide Crows','West Coast Eagles','North Melbourne',Essendon,'Western Bulldogs','GWS Giants','Gold Coast Suns'}
@attribute percent numeric
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute zzzz numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,MRVL,AO,GS,MS,OS,GMHBA,G,SCG}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs','GWS Giants',Hawthorn,Richmond,'Gold Coast Suns','Port Adelaide','Geelong Cats','Adelaide Crows','North Melbourne',Collingwood,'St Kilda',Fremantle,'West Coast Eagles','Sydney Swans',Carlton,Essendon,Melbourne,'Brisbane Lions'}
@attribute ptpb {Carlton,'Brisbane Lions',Essendon,'West Coast Eagles','Sydney Swans',Melbourne,'St Kilda',Fremantle,Collingwood,'Geelong Cats','North Melbourne','Western Bulldogs','Gold Coast Suns','Port Adelaide','GWS Giants',Hawthorn,Richmond,'Adelaide Crows'}
@attribute Result {win,loss}

@data
Richmond,Carlton,0.5,16,9,155,122,277,57,5,52,109,164,273,48,12,10,41,48,80.1,50,18,24,1179,15,16,42,12,61.5,65,59,5,26,33.3,54.2,23,16,19,19,12,9,189,114,303,69,0,23,126,173,299,54,12,7,26,44,68.6,51,24,18,1170,14,18,29,5,57.1,60,67,4,21,22.2,38.9,24,16,22,15,MCG,0,0,?,?,win
'Western Bulldogs',Collingwood,0.5,5,4,163,119,282,77,4,42,94,190,284,22,2,7,15,52,73.4,50,12,19,1130,5,16,29,2,55.6,48,50,4,9,22.7,40.9,23,22,18,15,13,8,191,161,352,94,2,49,123,228,351,42,14,11,43,32,79.5,47,19,12,1485,15,19,17,9,56.5,50,48,10,23,31,54.8,23,21,18,20,MRVL,0,0,?,?,loss
Essendon,Fremantle,0.5,9,9,192,147,339,98,8,58,101,234,335,41,9,5,29,50,77,37,17,11,1470,11,17,26,6,50,56,56,12,18,22,43.9,21,18,16,17,8,9,166,120,286,79,2,33,102,189,291,36,9,11,30,46,73.8,47,11,17,1153,6,15,32,7,42.1,55,56,4,19,22.2,52.8,22,20,19,21,MRVL,0,0,?,?,win
'Adelaide Crows','Sydney Swans',0.5,11,5,142,107,249,41,7,56,119,126,245,45,6,11,34,38,70.3,44,18,21,1047,5,20,30,7,61.1,61,60,13,18,24.4,40,24,15,21,21,11,8,200,113,313,68,0,63,136,170,306,41,8,6,34,47,70.3,54,21,18,1357,20,26,33,7,52.4,60,60,15,21,26.8,51.2,26,19,23,19,AO,0,0,?,?,loss
'GWS Giants','Geelong Cats',0.5,17,3,167,91,258,64,1,43,99,151,250,39,17,9,32,35,76.4,37,24,15,1162,16,17,31,13,77.3,51,49,9,22,43.6,56.4,22,17,17,15,11,7,176,98,274,83,3,29,103,171,274,42,9,8,28,34,77.7,57,15,24,1133,13,17,21,11,52.4,49,51,9,21,26.2,50,25,21,18,21,GS,0,0,?,?,win
'Gold Coast Suns','Port Adelaide',0.5,4,5,173,123,296,59,2,41,118,167,285,31,4,9,34,39,69.6,45,14,17,1129,5,20,51,3,50,63,62,2,8,12.9,25.8,21,21,12,18,10,16,219,138,357,90,2,60,129,222,351,62,12,7,31,43,73.7,45,17,14,1522,12,24,27,8,31.3,62,63,11,32,16.1,51.6,24,20,16,13,MS,0,0,?,?,loss
'North Melbourne','St Kilda',0.5,8,8,155,119,274,51,1,51,130,144,274,44,12,6,28,39,71.2,46,20,17,1112,10,20,31,8,47.1,65,56,14,17,18.2,38.6,23,13,9,5,7,12,167,133,300,51,3,72,125,163,288,40,13,8,26,48,65.3,49,17,20,1244,7,18,36,5,29.2,56,65,25,24,17.5,60,24,17,16,17,MRVL,0,0,?,?,win
Hawthorn,'Brisbane Lions',0.5,14,6,187,111,298,73,6,51,123,172,295,45,11,10,33,46,71.8,45,20,15,1303,10,18,37,12,73.7,69,71,9,19,31.1,42.2,23,21,23,17,9,8,184,103,287,68,3,50,121,159,280,46,8,8,22,40,69,58,15,20,1200,11,17,30,6,45,71,69,10,20,19.6,43.5,20,19,22,12,MCG,0,0,?,?,win
'West Coast Eagles',Melbourne,0.5,12,6,215,108,323,119,10,35,93,222,315,35,8,5,31,45,76.8,35,9,11,1442,13,15,37,9,63.2,67,62,5,19,34.3,54.3,20,22,22,14,7,9,177,141,318,80,3,29,118,201,319,45,8,7,19,37,72.6,44,11,9,1222,9,16,23,4,35,62,67,4,20,15.6,44.4,18,21,21,13,OS,0,0,?,?,win
Collingwood,Richmond,0.5,13,8,191,161,352,94,2,49,123,228,351,42,14,11,43,32,79.5,47,19,12,1485,18,22.8,17,9,56.5,50,48,10,23,31,54.8,27.6,25.2,21.6,24,16,9,155,122,277,57,5,52,109,164,273,48,12,10,41,48,80.1,50,18,24,1179,18,19.2,42,12,61.5,65,59,5,26,33.3,54.2,27.6,19.2,22.8,22.8,MCG,41.6,19.2,'Western Bulldogs',Carlton,loss
'Geelong Cats',Hawthorn,0.237202,11,7,176,98,274,83,3,29,103,171,274,42,9,8,28,34,77.7,57,15,24,1133,15.6,20.4,21,11,52.4,49,51,9,21,26.2,50,30,25.2,21.6,25.2,14,6,187,111,298,73,6,51,123,172,295,45,11,10,33,46,71.8,45,20,15,1303,12,21.6,37,12,73.7,69,71,9,19,31.1,42.2,27.6,25.2,27.6,20.4,GMHBA,-25.6,22.4,'GWS Giants','Brisbane Lions',win
'Brisbane Lions',Fremantle,0.5,9,8,184,103,287,68,3,50,121,159,280,46,8,8,22,40,69,58,15,20,1200,13.2,20.4,30,6,45,71,69,10,20,19.6,43.5,24,22.8,26.4,14.4,8,9,166,120,286,79,2,33,102,189,291,36,9,11,30,46,73.8,47,11,17,1153,7.2,18,32,7,42.1,55,56,4,19,22.2,52.8,26.4,24,22.8,25.2,G,-22.4,-4.8,Hawthorn,Essendon,win
Carlton,Melbourne,0.5,12,9,189,114,303,69,0,23,126,173,299,54,12,7,26,44,68.6,51,24,18,1170,16.8,21.6,29,5,57.1,60,67,4,21,22.2,38.9,28.8,19.2,26.4,18,7,9,177,141,318,80,3,29,118,201,319,45,8,7,19,37,72.6,44,11,9,1222,10.8,19.2,23,4,35,62,67,4,20,15.6,44.4,21.6,25.2,25.2,15.6,MRVL,-19.2,-21.6,Richmond,'West Coast Eagles',loss
'Port Adelaide','Adelaide Crows',0.762798,10,16,219,138,357,90,2,60,129,222,351,62,12,7,31,43,73.7,45,17,14,1522,14.4,28.8,27,8,31.3,62,63,11,32,16.1,51.6,28.8,24,19.2,15.6,11,5,142,107,249,41,7,56,119,126,245,45,6,11,34,38,70.3,44,18,21,1047,6,24,30,7,61.1,61,60,13,18,24.4,40,28.8,18,25.2,25.2,AO,37.6,-2.4,'Gold Coast Suns','Sydney Swans',win
'Gold Coast Suns','West Coast Eagles',0.237202,4,5,173,123,296,59,2,41,118,167,285,31,4,9,34,39,69.6,45,14,17,1129,6,24,51,3,50,63,62,2,8,12.9,25.8,25.2,25.2,14.4,21.6,12,6,215,108,323,119,10,35,93,222,315,35,8,5,31,45,76.8,35,9,11,1442,15.6,18,37,9,63.2,67,62,5,19,34.3,54.3,24,26.4,26.4,16.8,MS,-37.6,21.6,'Port Adelaide',Melbourne,win
'GWS Giants','North Melbourne',0.5,17,3,167,91,258,64,1,43,99,151,250,39,17,9,32,35,76.4,37,24,15,1162,19.2,20.4,31,13,77.3,51,49,9,22,43.6,56.4,26.4,20.4,20.4,18,8,8,155,119,274,51,1,51,130,144,274,44,12,6,28,39,71.2,46,20,17,1112,12,24,31,8,47.1,65,56,14,17,18.2,38.6,27.6,15.6,10.8,6,GS,25.6,1.6,'Geelong Cats','St Kilda',loss
'Sydney Swans',Essendon,0.5,11,8,200,113,313,68,0,63,136,170,306,41,8,6,34,47,70.3,54,21,18,1357,24,31.2,33,7,52.4,60,60,15,21,26.8,51.2,31.2,22.8,27.6,22.8,9,9,192,147,339,98,8,58,101,234,335,41,9,5,29,50,77,37,17,11,1470,13.2,20.4,26,6,50,56,56,12,18,22,43.9,25.2,21.6,19.2,20.4,SCG,2.4,4.8,'Adelaide Crows',Fremantle,loss
'St Kilda','Western Bulldogs',0.5,7,12,167,133,300,51,3,72,125,163,288,40,13,8,26,48,65.3,49,17,20,1244,8.4,21.6,36,5,29.2,56,65,25,24,17.5,60,28.8,20.4,19.2,20.4,5,4,163,119,282,77,4,42,94,190,284,22,2,7,15,52,73.4,50,12,19,1130,6,19.2,29,2,55.6,48,50,4,9,22.7,40.9,27.6,26.4,21.6,18,MRVL,-1.6,-41.6,'North Melbourne',Collingwood,win
Richmond,Hawthorn,0.809807,7.2,6.6,172.6,107.6,280.2,70.6,2.6,66.4,117,163.2,280.2,44.8,5.6,10,27.4,42.4,69.86,45.2,15.6,16,1251.8,7.6,31.84,29.2,4.8,48.7,65.8,65.4,5.8,14,15.78,30.84,25.52,25.84,23.56,20.56,8.4,5.2,154.2,105.4,259.6,53.8,2,55,111,148.8,259.8,41,5.4,8.4,33,53.2,65.56,48.2,16,20.6,1095.8,12.4,17.32,37,7.2,49.78,65.8,69.4,10.6,16.6,20.22,40.44,29.52,27.04,29.52,23.08,MCG,3.84,-44.32,Collingwood,'Geelong Cats',loss
'Western Bulldogs','GWS Giants',0.214998,6.6,6.4,146.2,165.4,311.6,59.4,3.2,47.6,110.8,202,312.8,36.4,7.6,8.6,12.6,45.6,71.88,56.4,14.4,20.6,1148.4,10.2,23.84,25.8,3.6,46.16,46.4,48.4,11.2,14.6,18.54,40.18,26.52,25.28,28.32,21.6,9.8,10.2,147,111.8,258.8,47.2,0.2,59.8,114.2,140.6,254.8,38.2,7.4,8.2,34.4,39.8,69.92,40.2,12.8,20.6,1098,10.84,33.08,29.4,6.6,49.14,47,53.8,6.6,19.6,25.6,51.28,23.28,27.08,22.08,24.6,MRVL,-39.52,-10.88,'St Kilda','North Melbourne',win
'North Melbourne','Sydney Swans',0.745132,11.2,8,170.2,141.4,311.6,58.2,6.6,55.8,122,182.4,304.4,43.2,10.4,7.6,46.4,37.4,73.84,38.8,21.6,11.4,1298.4,16.4,34.8,30.2,8,53.02,57,48,9.2,21,25.96,48.68,21.52,22.12,22.16,22.2,11,7.2,190.4,121,311.4,74.4,3.2,54.2,128,179.6,307.6,43.4,4.8,10,34,37.4,72.7,46,24.2,14,1341.8,17.8,28.24,33,5.4,54.48,59.2,60,12.6,20.2,25.36,46.64,30.24,23.56,31.52,19.56,MRVL,16.32,-4.32,'GWS Giants',Essendon,loss
