@relation parsed

@attribute home {Carlton,Melbourne,'Sydney Swans','Brisbane Lions','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,Hawthorn,'West Coast Eagles',Richmond,'GWS Giants',Collingwood,'Port Adelaide','Gold Coast Suns','Geelong Cats',Essendon,'North Melbourne'}
@attribute away {Richmond,'Gold Coast Suns',Essendon,Collingwood,'West Coast Eagles','GWS Giants','North Melbourne','Port Adelaide','Geelong Cats',Carlton,'Western Bulldogs',Melbourne,'Adelaide Crows','Sydney Swans','St Kilda',Fremantle,Hawthorn,'Brisbane Lions'}
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,ANZ,G,MRVL,AO,DS,UNSW,MS,GMHBA,SCG,UTAS,WS,BA,GS,TP,TIO,CS,AAJS,MARS,OS,RS}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs',Carlton,'St Kilda','Brisbane Lions',Fremantle,Melbourne,Hawthorn,'Sydney Swans','Adelaide Crows','West Coast Eagles',Collingwood,'Port Adelaide','North Melbourne',Essendon,Richmond,'Gold Coast Suns','GWS Giants','Geelong Cats'}
@attribute ptpb {Richmond,'West Coast Eagles','Gold Coast Suns','North Melbourne',Essendon,'GWS Giants','Port Adelaide','Geelong Cats',Collingwood,Hawthorn,Melbourne,'Sydney Swans','Western Bulldogs','St Kilda','Adelaide Crows',Fremantle,'Brisbane Lions',Carlton}
@attribute Result {loss,win}

@data
Carlton,Richmond,11,12,196,129,325,84,10,57,127,199,326,46,11,7,34,42,71.7,45,20,20,1398,17,21,38,9,52.4,64,55,7,21,23.9,45.7,25,27,25,30,15,15,200,155,355,91,29,51,121,227,348,54,12,13,39,39,76.9,43,20,20,1491,9,18,35,10,48.4,55,65,10,31,27.8,57.4,23,29,21,MCG,0,0,?,?,loss
Melbourne,'Gold Coast Suns',17,13,221,126,347,98,3,66,150,198,348,52,11,16,34,37,70.9,41,21,16,1595,17,18,33,10,54.8,59,68,9,31,32.7,59.6,27,26,31,31,13,11,197,104,301,80,6,53,136,165,301,47,16,11,45,45,67.4,50,16,21,1338,16,26,35,7,54.2,68,59,11,24,27.7,51.1,26,21,20,MCG,0,0,?,?,win
'Sydney Swans',Essendon,10,12,204,170,374,50,2,71,176,192,368,60,5,6,66,52,66.3,57,24,25,1473,11,44,34,7,43.5,79,77,5,23,16.7,38.3,26,21,33,19,9,6,217,122,339,60,3,77,150,171,321,44,2,2,48,50,66.7,56,25,24,1444,9,44,48,6,56.3,77,79,10,16,20.5,36.4,29,24,29,ANZ,0,0,?,?,win
'Brisbane Lions',Collingwood,11,8,215,149,364,87,1,68,152,211,363,49,9,8,47,51,67.9,54,21,17,1567,17,29,49,8,50,72,74,13,22,22.4,44.9,26,24,25,26,12,14,197,149,346,52,2,76,165,179,344,61,17,12,36,53,66.8,54,17,21,1425,10,31,36,10,37.5,73,72,9,32,19.7,52.5,28,33,26,G,0,0,?,?,loss
'Western Bulldogs','West Coast Eagles',14,13,208,164,372,79,14,94,156,214,370,58,10,5,36,40,73.9,42,20,19,1661,14,36,27,3,43.8,58,61,25,32,24.1,55.2,25,26,29,36,14,3,188,192,380,88,13,76,137,236,373,41,10,7,47,42,73.2,45,19,20,1609,14,18,43,12,82.4,61,58,12,17,34.1,41.5,21,24,32,MRVL,0,0,?,?,win
'St Kilda','GWS Giants',11,12,199,133,332,96,10,49,128,214,342,52,11,13,29,41,73.8,51,20,25,1399,9,28,41,8,55,64,62,6,20,21.2,38.5,28,29,25,25,12,15,187,166,353,92,12,42,122,232,354,54,10,13,43,51,75.9,46,25,20,1432,12,22,41,8,46.2,62,65,5,26,22.2,48.1,25,22,24,MRVL,0,0,?,?,loss
'Adelaide Crows','North Melbourne',21,14,241,125,366,114,19,57,142,224,366,63,22,13,32,43,74.3,50,16,17,1680,18,23,37,16,60,68,70,6,35,33.3,55.6,28,27,22,23,9,9,172,144,316,72,14,50,115,190,305,47,6,9,41,30,70.9,48,17,16,1293,11,15,41,6,50,70,68,8,18,19.1,38.3,27,26,23,AO,0,0,?,?,win
Fremantle,'Port Adelaide',11,9,200,166,366,73,6,41,138,230,368,58,5,9,51,39,73.5,44,27,20,1408,16,25,32,7,57.9,62,63,5,19,19,32.8,27,23,25,26,10,8,224,166,390,128,11,73,112,284,396,42,10,6,25,45,79,53,20,27,1712,6,24,46,7,47.6,63,62,12,21,23.8,50,32,21,21,DS,0,0,?,?,win
Hawthorn,'Geelong Cats',17,21,236,131,367,124,16,59,144,226,370,60,17,23,39,42,76.6,39,18,21,1695,8,25,33,11,48.6,52,64,14,35,28.3,58.3,22,28,29,28,8,13,190,155,345,99,5,56,114,234,348,42,13,9,26,47,74.2,41,21,18,1455,13,12,43,6,32,65,52,5,25,19,59.5,27,22,24,MCG,0,0,?,?,win
'West Coast Eagles',Carlton,14,3,188,192,380,88,13,76,137,236,373,41,10,7,47,42,73.2,45,19,20,1609,16.8,21.6,43,12,82.4,61,58,12,17,34.1,41.5,25.2,28.8,38.4,39.6,11,12,196,129,325,84,10,57,127,199,326,46,11,7,34,42,71.7,45,20,20,1398,20.4,25.2,38,9,52.4,64,55,7,21,23.9,45.7,30,32.4,30,DS,-8,-21.6,'Western Bulldogs',Richmond,win
Richmond,'Western Bulldogs',15,15,200,155,355,91,29,51,121,227,348,54,12,13,39,39,76.9,43,20,20,1491,10.8,21.6,35,10,48.4,55,65,10,31,27.8,57.4,27.6,34.8,25.2,37.2,14,13,208,164,372,79,14,94,156,214,370,58,10,5,36,40,73.9,42,20,19,1661,16.8,43.2,27,3,43.8,58,61,25,32,24.1,55.2,30,31.2,34.8,MCG,21.6,8,Carlton,'West Coast Eagles',loss
'GWS Giants',Melbourne,12,15,187,166,353,92,12,42,122,232,354,54,10,13,43,51,75.9,46,25,20,1432,14.4,26.4,41,8,46.2,62,65,5,26,22.2,48.1,30,26.4,28.8,28.8,17,13,221,126,347,98,3,66,150,198,348,52,11,16,34,37,70.9,41,21,16,1595,20.4,21.6,33,10,54.8,59,68,9,31,32.7,59.6,32.4,31.2,37.2,UNSW,7.2,20.8,'St Kilda','Gold Coast Suns',win
Collingwood,'Adelaide Crows',12,14,197,149,346,52,2,76,165,179,344,61,17,12,36,53,66.8,54,17,21,1425,12,37.2,36,10,37.5,73,72,9,32,19.7,52.5,33.6,39.6,31.2,30,21,14,241,125,366,114,19,57,142,224,366,63,22,13,32,43,74.3,50,16,17,1680,21.6,27.6,37,16,60,68,70,6,35,33.3,55.6,33.6,32.4,26.4,MRVL,9.6,61.6,'Brisbane Lions','North Melbourne',loss
'Port Adelaide','Sydney Swans',10,8,224,166,390,128,11,73,112,284,396,42,10,6,25,45,79,53,20,27,1712,7.2,28.8,46,7,47.6,63,62,12,21,23.8,50,38.4,25.2,25.2,34.8,10,12,204,170,374,50,2,71,176,192,368,60,5,6,66,52,66.3,57,24,25,1473,13.2,52.8,34,7,43.5,79,77,5,23,16.7,38.3,31.2,25.2,39.6,AO,-5.6,9.6,Fremantle,Essendon,loss
'Gold Coast Suns','St Kilda',13,11,197,104,301,80,6,53,136,165,301,47,16,11,45,45,67.4,50,16,21,1338,19.2,31.2,35,7,54.2,68,59,11,24,27.7,51.1,31.2,25.2,24,28.8,11,12,199,133,332,96,10,49,128,214,342,52,11,13,29,41,73.8,51,20,25,1399,10.8,33.6,41,8,55,64,62,6,20,21.2,38.5,33.6,34.8,30,MS,-20.8,-7.2,Melbourne,'GWS Giants',loss
'Geelong Cats',Fremantle,8,13,190,155,345,99,5,56,114,234,348,42,13,9,26,47,74.2,41,21,18,1455,15.6,14.4,43,6,32,65,52,5,25,19,59.5,32.4,26.4,28.8,26.4,11,9,200,166,366,73,6,41,138,230,368,58,5,9,51,39,73.5,44,27,20,1408,19.2,30,32,7,57.9,62,63,5,19,19,32.8,32.4,27.6,30,GMHBA,-49.6,5.6,Hawthorn,'Port Adelaide',loss
Essendon,Hawthorn,9,6,217,122,339,60,3,77,150,171,321,44,2,2,48,50,66.7,56,25,24,1444,10.8,52.8,48,6,56.3,77,79,10,16,20.5,36.4,34.8,28.8,34.8,22.8,17,21,236,131,367,124,16,59,144,226,370,60,17,23,39,42,76.6,39,18,21,1695,9.6,30,33,11,48.6,52,64,14,35,28.3,58.3,26.4,33.6,34.8,MCG,-9.6,49.6,'Sydney Swans','Geelong Cats',win
'North Melbourne','Brisbane Lions',9,9,172,144,316,72,14,50,115,190,305,47,6,9,41,30,70.9,48,17,16,1293,13.2,18,41,6,50,70,68,8,18,19.1,38.3,32.4,31.2,27.6,28.8,11,8,215,149,364,87,1,68,152,211,363,49,9,8,47,51,67.9,54,21,17,1567,20.4,34.8,49,8,50,72,74,13,22,22.4,44.9,31.2,28.8,30,MRVL,-61.6,-9.6,'Adelaide Crows',Collingwood,win
Collingwood,'St Kilda',9.6,10,190.6,160.2,350.8,59.2,6,66.4,157,187.8,344.8,47.4,13,11.2,39.2,54.6,68.56,54,17,18.6,1403.4,10.4,27.44,44,6.8,41.82,69.8,68.8,13,23.2,20.34,48.66,33.72,38.92,28.24,35,15,8.8,219.8,153.8,373.6,103.2,4.4,62.6,137.6,237.2,374.8,53.6,14.2,11.4,48.2,41.8,74.76,39,17.6,20.2,1631,15.16,27.72,38.6,10.4,60.2,56.8,66,6.8,24.8,27.92,46.18,37.72,35.96,24,MCG,-19.68,20.96,'Adelaide Crows','Gold Coast Suns',win
Carlton,Essendon,9.4,8.8,192.8,128.2,321,98.4,14,57.8,119.8,205.4,325.2,37.2,10.2,12.6,28.4,52.4,73.06,42.6,14.4,19.2,1411.6,15.08,23.04,30,7.4,46.48,56.8,56.6,7,20.2,25.34,29.7,37,33.48,33,31.2,11.4,6,225,190.8,415.8,103.2,8.6,74.6,140.4,272.6,413,50.4,8.4,8.4,38.4,41.2,75.5,44,19.4,20.8,1734.4,10.16,31.56,46.4,9.2,61.82,64.2,73.4,8.4,18.4,22.58,36.48,35.96,36.76,28.96,MCG,-59.52,-0.32,'West Coast Eagles',Hawthorn,loss
'Adelaide Crows',Melbourne,13.8,17.2,254.6,159.4,414,123.6,7,65.8,146,262.4,408.4,59,18,8.2,36.8,41.4,71.74,46,17.6,17,1820,19.32,36.52,33.8,12,46.32,68,69.2,14.8,29.4,23.22,49.76,29.72,35.48,30.28,30.52,9.8,9,190.6,122.8,313.4,82,3.8,62,131.6,178,309.6,37.6,7,14.4,37.2,29,72.9,47.4,18.6,25.6,1358.2,11.08,32.32,44.2,3.6,50.96,62.2,58.4,11.4,19,25.34,49.6,35.48,32.24,32.44,AO,33.92,-31.84,Collingwood,'GWS Giants',win
'Sydney Swans','GWS Giants',13.2,8.8,212.8,195.6,408.4,80.4,2,75,152,260,412,53.6,5,6.8,58.8,50.4,72.94,60.2,16,21.8,1668.2,15.64,43.56,50,8.6,51.74,74.2,69.8,14.6,25.4,24.86,47.66,35.24,31.04,35.92,26.56,14.4,11.8,198.2,157.2,355.4,84,17.6,70.8,134,223.2,357.2,60.4,10.8,9.8,43,35,75.42,46.8,27.4,18.4,1557.6,18.88,40.28,28.2,10.4,47.96,57.2,64.2,5.8,30,23.8,49.62,31,28.28,34.76,SCG,40.32,37.44,'Port Adelaide',Melbourne,win
'North Melbourne','Port Adelaide',17.8,12.2,199.2,184.8,384,87.2,11.6,52.4,137.4,242.8,380.2,55.8,18.8,13.8,41,43.6,74.42,51.2,23.4,20,1561.8,19.64,28.6,37.8,12.4,58.48,57.2,53.6,8,30,31.42,53.18,35.48,33.24,26.52,22.76,6.8,8,223.2,205.2,428.4,108.8,6.2,56.2,130.4,294.4,424.8,58,9.2,6,29,50.6,73.16,48.2,20.8,16.6,1680,11.44,30.76,39.6,4.6,34.8,67.8,70.8,13.6,19.4,12.52,34.48,37.68,30.04,31.04,MRVL,53.28,-39.52,'Brisbane Lions','Sydney Swans',loss
'Brisbane Lions',Richmond,7.8,8.8,177.4,139.4,316.8,79.8,5,57.6,125.6,194.2,319.8,45,6.6,5.6,35,35,72.3,52.4,21,23.4,1322.2,12.08,22.96,39.4,3.2,53.04,54.4,58,11.4,14.8,17.2,32.58,40.24,37.76,29,34.24,10.2,12.6,219.2,174.2,393.4,108.6,16.2,51,138.6,253.4,392,54,16,13.8,36.6,30.2,74.9,49.4,28,14.4,1631,12.16,29.32,35.8,7.6,35.36,62.2,59.4,6,28.6,18.92,53,34.52,28.96,35.04,G,-67.52,-10.88,'North Melbourne','Western Bulldogs',loss
