home,away,percent,aaa,aab,aac,aad,aae,aaf,aag,aah,aai,aaj,aak,aal,zzzz,aam,aan,aao,aap,aaq,aar,aas,aat,aau,aav,aaw,aax,aay,aaz,aba,aca,ada,aea,afa,aga,aha,aia,aja,aka,ala,ama,ana,aoa,apa,aqa,ara,asa,ata,aua,ava,awa,axa,aya,aza,baa,caa,daa,eaa,faa,gaa,haa,iaa,jaa,kaa,laa,maa,naa,oaa,paa,qaa,raa,saa,taa,uaa,vaa,waa,xaa,ptpa,ptpb,Result
Carlton,Richmond,0.5000000150000002,11.0,12.0,196.0,129.0,325.0,84.0,10.0,57.0,127.0,199.0,326.0,46.0,11.0,7.0,34.0,42.0,71.7,45.0,20.0,20.0,1398.0,17.0,21.0,38.0,9.0,52.4,64.0,55.0,7.0,21.0,23.9,45.7,25.0,27.0,25.0,30.0,15.0,15.0,200.0,155.0,355.0,91.0,29.0,51.0,121.0,227.0,348.0,54.0,12.0,13.0,39.0,39.0,76.9,43.0,20.0,20.0,1491.0,9.0,18.0,35.0,10.0,48.4,55.0,65.0,10.0,31.0,27.8,57.4,23.0,29.0,21.0,31.0,MCG,0,0,,,loss
Melbourne,Gold Coast Suns,0.5000000150000002,17.0,13.0,221.0,126.0,347.0,98.0,3.0,66.0,150.0,198.0,348.0,52.0,11.0,16.0,34.0,37.0,70.9,41.0,21.0,16.0,1595.0,17.0,18.0,33.0,10.0,54.8,59.0,68.0,9.0,31.0,32.7,59.6,27.0,26.0,31.0,31.0,13.0,11.0,197.0,104.0,301.0,80.0,6.0,53.0,136.0,165.0,301.0,47.0,16.0,11.0,45.0,45.0,67.4,50.0,16.0,21.0,1338.0,16.0,26.0,35.0,7.0,54.2,68.0,59.0,11.0,24.0,27.7,51.1,26.0,21.0,20.0,24.0,MCG,0,0,,,win
Sydney Swans,Essendon,0.5000000150000002,10.0,12.0,204.0,170.0,374.0,50.0,2.0,71.0,176.0,192.0,368.0,60.0,5.0,6.0,66.0,52.0,66.3,57.0,24.0,25.0,1473.0,11.0,44.0,34.0,7.0,43.5,79.0,77.0,5.0,23.0,16.7,38.3,26.0,21.0,33.0,19.0,9.0,6.0,217.0,122.0,339.0,60.0,3.0,77.0,150.0,171.0,321.0,44.0,2.0,2.0,48.0,50.0,66.7,56.0,25.0,24.0,1444.0,9.0,44.0,48.0,6.0,56.3,77.0,79.0,10.0,16.0,20.5,36.4,29.0,24.0,29.0,19.0,ANZ,0,0,,,win
Brisbane Lions,Collingwood,0.5000000150000002,11.0,8.0,215.0,149.0,364.0,87.0,1.0,68.0,152.0,211.0,363.0,49.0,9.0,8.0,47.0,51.0,67.9,54.0,21.0,17.0,1567.0,17.0,29.0,49.0,8.0,50.0,72.0,74.0,13.0,22.0,22.4,44.9,26.0,24.0,25.0,26.0,12.0,14.0,197.0,149.0,346.0,52.0,2.0,76.0,165.0,179.0,344.0,61.0,17.0,12.0,36.0,53.0,66.8,54.0,17.0,21.0,1425.0,10.0,31.0,36.0,10.0,37.5,73.0,72.0,9.0,32.0,19.7,52.5,28.0,33.0,26.0,25.0,G,0,0,,,loss
Western Bulldogs,West Coast Eagles,0.5000000150000002,14.0,13.0,208.0,164.0,372.0,79.0,14.0,94.0,156.0,214.0,370.0,58.0,10.0,5.0,36.0,40.0,73.9,42.0,20.0,19.0,1661.0,14.0,36.0,27.0,3.0,43.8,58.0,61.0,25.0,32.0,24.1,55.2,25.0,26.0,29.0,36.0,14.0,3.0,188.0,192.0,380.0,88.0,13.0,76.0,137.0,236.0,373.0,41.0,10.0,7.0,47.0,42.0,73.2,45.0,19.0,20.0,1609.0,14.0,18.0,43.0,12.0,82.4,61.0,58.0,12.0,17.0,34.1,41.5,21.0,24.0,32.0,33.0,MRVL,0,0,,,win
St Kilda,GWS Giants,0.5000000150000002,11.0,12.0,199.0,133.0,332.0,96.0,10.0,49.0,128.0,214.0,342.0,52.0,11.0,13.0,29.0,41.0,73.8,51.0,20.0,25.0,1399.0,9.0,28.0,41.0,8.0,55.0,64.0,62.0,6.0,20.0,21.2,38.5,28.0,29.0,25.0,25.0,12.0,15.0,187.0,166.0,353.0,92.0,12.0,42.0,122.0,232.0,354.0,54.0,10.0,13.0,43.0,51.0,75.9,46.0,25.0,20.0,1432.0,12.0,22.0,41.0,8.0,46.2,62.0,65.0,5.0,26.0,22.2,48.1,25.0,22.0,24.0,24.0,MRVL,0,0,,,loss
Adelaide Crows,North Melbourne,0.5000000150000002,21.0,14.0,241.0,125.0,366.0,114.0,19.0,57.0,142.0,224.0,366.0,63.0,22.0,13.0,32.0,43.0,74.3,50.0,16.0,17.0,1680.0,18.0,23.0,37.0,16.0,60.0,68.0,70.0,6.0,35.0,33.3,55.6,28.0,27.0,22.0,23.0,9.0,9.0,172.0,144.0,316.0,72.0,14.0,50.0,115.0,190.0,305.0,47.0,6.0,9.0,41.0,30.0,70.9,48.0,17.0,16.0,1293.0,11.0,15.0,41.0,6.0,50.0,70.0,68.0,8.0,18.0,19.1,38.3,27.0,26.0,23.0,24.0,AO,0,0,,,win
Fremantle,Port Adelaide,0.5000000150000002,11.0,9.0,200.0,166.0,366.0,73.0,6.0,41.0,138.0,230.0,368.0,58.0,5.0,9.0,51.0,39.0,73.5,44.0,27.0,20.0,1408.0,16.0,25.0,32.0,7.0,57.9,62.0,63.0,5.0,19.0,19.0,32.8,27.0,23.0,25.0,26.0,10.0,8.0,224.0,166.0,390.0,128.0,11.0,73.0,112.0,284.0,396.0,42.0,10.0,6.0,25.0,45.0,79.0,53.0,20.0,27.0,1712.0,6.0,24.0,46.0,7.0,47.6,63.0,62.0,12.0,21.0,23.8,50.0,32.0,21.0,21.0,29.0,DS,0,0,,,win
Hawthorn,Geelong Cats,0.5000000150000002,17.0,21.0,236.0,131.0,367.0,124.0,16.0,59.0,144.0,226.0,370.0,60.0,17.0,23.0,39.0,42.0,76.6,39.0,18.0,21.0,1695.0,8.0,25.0,33.0,11.0,48.6,52.0,64.0,14.0,35.0,28.3,58.3,22.0,28.0,29.0,28.0,8.0,13.0,190.0,155.0,345.0,99.0,5.0,56.0,114.0,234.0,348.0,42.0,13.0,9.0,26.0,47.0,74.2,41.0,21.0,18.0,1455.0,13.0,12.0,43.0,6.0,32.0,65.0,52.0,5.0,25.0,19.0,59.5,27.0,22.0,24.0,22.0,MCG,0,0,,,win
West Coast Eagles,Carlton,0.5000000150000002,14.000000000000002,3.0000000000000004,188.0,192.00000000000003,380.0,88.0,13.0,76.0,137.0,236.0,373.00000000000006,41.00000000000001,10.0,7.000000000000001,47.0,42.0,73.2,45.0,19.0,20.0,1609.0,16.8,21.6,43.0,12.000000000000002,82.4,61.00000000000001,58.00000000000001,12.000000000000002,17.0,34.1,41.5,25.2,28.8,38.4,39.6,11.0,12.000000000000002,196.0,129.0,325.0,84.0,10.0,57.0,127.00000000000001,199.00000000000003,326.0,46.00000000000001,11.0,7.000000000000001,34.0,42.0,71.7,45.0,20.0,20.0,1398.0,20.4,25.2,38.0,9.0,52.400000000000006,64.0,55.0,7.000000000000001,21.0,23.900000000000002,45.7,30.0,32.4,30.0,36.0,DS,-8.0,-21.6,Western Bulldogs,Richmond,win
