@relation playerParsed

@attribute Home numeric
@attribute Away numeric
@attribute Result {loss,win}

@data
1395,1489,loss
1594,1335,win
1470,1444,win
1565,1422,loss
1657,1609,win
1394,1430,loss
1675,1290,win
1405,1710,win
1689,1451,win
1552,1478,win
1466,1638,loss
1442,1645,win
1432,1660,loss
1704,1505,loss
1304,1339,loss
1387,1383,loss
1458,1644,win
1307,1524,win
1363.4,1702.2,win
1528.4,1753.4,loss
1890.2,1325.4,win
1691.8,1572.2,win
1638.4,1697,loss
1281,1647.2,loss
1692,1406,win
1487.6,1344.2,win
1683.8,1654.2,loss
1606.68,1420.96,loss
1756.4,1653.28,loss
1502.16,1355.96,loss
1646.24,1461.64,win
1608.6,1970.52,win
1801.04,1659.52,win
1518.2,1509.96,loss
1586.52,1528.28,loss
1411.6,1661.48,win
1596.776,1460.016,loss
1440.2,1337.832,loss
1539.424,1658.48,loss
1282.392,1524.36,win
1567.68,1713.648,loss
1507.912,1723.808,win
1450.664,1534.808,loss
1507.392,1788.624,loss
1610.136,1544.52,loss
1691.0288,1439.6432,loss
1572.192,1531.8624,win
1451.6816,1648.0704,loss
1543.2976,1606.192,win
1525.928,1412.6272,loss
1394.6944,1688.1136,loss
1735.0224,1552.2688,win
1129.0912,1539.704,loss
1651.0784,1745.6384,loss
1505.57856,1484.8992,loss
1724.78144,1712.85696,win
1590.62432,1477.712,win
1304.63712,1535.10912,loss
1699.32192,1792.03584,win
1586.57632,1569.63616,win
1418.65024,1723.47264,loss
1342.01248,1520.78176,win
1323.02368,1641.10368,win
1528.692096,1473.886144,win
1540.147072,1935.164736,loss
1668.142848,1733.804416,win
1501.944192,1478.533376,loss
1818.845312,1709.422784,loss
1724.633728,1566.239296,win
1510.125952,1345.169984,win
1417.932352,1587.275776,win
1556.379904,1654.416896,loss
1676.807002,1242.701133,win
1581.38487,1569.410419,win
1718.147238,1521.095667,loss
1472.235866,1710.059546,win
1554.323379,1668.42519,win
1475.160883,1712.126746,loss
1295.244954,1508.798438,loss
1703.978931,1394.822003,win
1563.816371,1661.738419,win
1482.831283,1498.624676,loss
1458.851305,1546.371697,loss
1295.352253,1737.489196,loss
1566.955361,1423.326884,loss
