@relation out

@attribute home {Mystics,Pulse,Stars,Steel,Magic,Tactix}
@attribute away {Steel,Magic,Tactix,Stars,Pulse,Mystics}
@attribute rea numeric
@attribute gfcpa numeric
@attribute gfta numeric
@attribute pa numeric
@attribute tipa numeric
@attribute ga numeric
@attribute posa numeric
@attribute oraa numeric
@attribute gma numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute ba numeric
@attribute passa numeric
@attribute gaa numeric
@attribute da numeric
@attribute tuwa numeric
@attribute cpra numeric
@attribute opa numeric
@attribute fea numeric
@attribute goalsa numeric
@attribute offa numeric
@attribute badpa numeric
@attribute dra numeric
@attribute breaka numeric
@attribute blocka numeric
@attribute badha numeric
@attribute mgta numeric
@attribute gfga numeric
@attribute sia numeric
@attribute goalaa numeric
@attribute deflaa numeric
@attribute cpa numeric
@attribute turna numeric
@attribute picka numeric
@attribute intera numeric
@attribute rb numeric
@attribute gfcpb numeric
@attribute gftb numeric
@attribute penb numeric
@attribute tipb numeric
@attribute gainb numeric
@attribute possb numeric
@attribute orb numeric
@attribute gmb numeric
@attribute bb numeric
@attribute passb numeric
@attribute gasdfb numeric
@attribute dispb numeric
@attribute tuwb numeric
@attribute cprb numeric
@attribute opb numeric
@attribute feedb numeric
@attribute goalsb numeric
@attribute offb numeric
@attribute bpb numeric
@attribute drb numeric
@attribute breakb numeric
@attribute blockb numeric
@attribute bhb numeric
@attribute mgtb numeric
@attribute gfgb numeric
@attribute sib numeric
@attribute gab numeric
@attribute deflb numeric
@attribute turnb numeric
@attribute pickb numeric
@attribute interb numeric
@attribute h0 numeric
@attribute m0 numeric
@attribute h1 numeric
@attribute m1 numeric
@attribute h2 numeric
@attribute m2 numeric
@attribute h3 numeric
@attribute m3 numeric
@attribute one numeric
@attribute two numeric
@attribute three numeric
@attribute four numeric
@attribute five numeric
@attribute six numeric
@attribute seven numeric
@attribute eight numeric
@attribute result {LOSS,WIN}

@data
Mystics,Steel,10,35,7,42,0,26.923077,24,17,8,46,10,166,21,0,79,5,38,161,0,50,9,79,47,2,4,28.571429,2,4,2,0,5,805,5,29,68,33,60,14,3,0,20,6,4,8,0,0,23,7,7,32,9,43,0,31.034483,22,9,3,54,17,179,17,4,98,5,47,191,0,49,17,98,55,3,9,11.764706,1,0,1,0,14,808,5,26,72,25,64,17,8,0,30,6,1,3,0,0,24,8,LOSS
Pulse,Magic,5,22,17,59,0,34.693878,37,15,16,49,23,150,11,1,64,7,40,137,0,39,6,64,45,3,3,9.090909,0,0,2,0,6,803,7,43,56,53,49,13,12,0,26,6,1,3,0,0,18,2,6,17,7,66,0,16.27907,42,12,12,51,23,136,13,0,71,4,29,133,0,36,20,71,33,6,3,15.384615,1,1,4,0,9,809,4,49,46,46,41,11,16,0,24,9,4,3,0,0,5,1,WIN
Stars,Tactix,11,47,10,55,0,43.478261,18,11,7,52,9,175,19,0,100,3,51,192,0,60,7,100,60,7,3,31.578947,0,0,3,0,3,8120,3,24,79,48,66,7,3,0,35,14,5,3,0,0,20,2,11,46,8,69,0,33.333333,20,10,3,48,11,175,12,0,101,1,49,187,0,61,8,101,61,3,7,66.666667,0,0,2,0,7,802,1,23,73,61,62,9,7,0,37,10,2,0,0,0,22,2,WIN
Pulse,Steel,5,22,17,59,0,34.693878,37,15,16,49,23,150,11,1,64,7,40,137,0,39,6,64,45,3,3,9.090909,0,0,2,0,6,803,7,43,56,53,49,13,12,0,26,6,1,3,0,0,18,2,7,32,9,43,0,31.034483,22,9,3,54,17,179,17,4,98,5,47,191,0,49,17,98,55,3,9,11.764706,1,0,1,0,14,808,5,26,72,25,64,17,8,0,30,6,1,3,0,0,24,8,WIN
Mystics,Tactix,10,35,7,42,0,26.923077,24,17,8,46,10,166,21,0,79,5,38,161,0,50,9,79,47,2,4,28.571429,2,4,2,0,5,805,5,29,68,33,60,14,3,0,20,6,4,8,0,0,23,7,11,46,8,69,0,33.333333,20,10,3,48,11,175,12,0,101,1,49,187,0,61,8,101,61,3,7,66.666667,0,0,2,0,7,802,1,23,73,61,62,9,7,0,37,10,2,0,0,0,22,2,WIN
Mystics,Stars,7.3,20.6,6.1,63.6,0,18.120879,28.5,11.6,9.8,47.8,21.7,151.6,17.4,0,81.7,6.8,35.3,151.1,0,39.2,16.2,81.7,39.8,3.8,1.3,18.739496,1.1,1.3,2,0,13.1,805,6.8,36.2,57.2,47.4,49.2,16.7,11.1,0,14.4,7.6,6.4,4.8,0,0,19.8,5.4,11,47,10,55,0,43.478261,18,11,7,52,9,175,19,0,100,3,51,192,0,60,7,100,60,7,3,31.578947,0,0,3,0,3,8120,3,24,79,48,66,7,3,0,35,14,5,3,0,0,20,2,WIN
Pulse,Tactix,2.3,42.7,12.5,67.1,0,39.469388,23.5,12.3,6.1,49.9,13.1,152.7,5.6,0.1,82,4.3,56.2,158.6,0,50.7,11.4,82,60.3,0.3,3.9,36.909091,0.9,0,1.1,0,5.1,803,4.3,26.8,65.9,55.7,61.6,10.3,8.4,0,25.2,5.2,2.6,0.6,0,0,30.8,0.4,8.3,26.2,9.8,43.8,0,27.657658,29.9,20.8,11.1,51.6,14.6,131.8,11.1,0.9,86.6,0.1,38.2,154.6,0,41.2,6.2,86.6,43.9,3,0.7,31.212121,1.8,0,3.8,0,7.9,802,0.1,33.8,55,36.7,50.3,4.5,9.7,0,20.2,7.6,2.8,1.6,0,0,22.8,2,LOSS
Steel,Magic,10.6,34.7,11.7,62.8,0,46.303448,27.4,9.9,7.5,50.4,8.9,158.3,15.2,0.4,84.5,2.3,39.8,164.9,0,52.6,15.2,84.5,51.4,1.2,1.8,55.176471,1,0,1.9,0,5,808,2.3,29.6,66.6,47.5,54.1,7.1,5.3,0,22,8.4,1.8,2.2,0,0,28,4.8,6,17,7,66,0,16.27907,42,12,12,51,23,136,13,0,71,4,29,133,0,36,20,71,33,6,3,15.384615,1,1,4,0,9,809,4,49,46,46,41,11,16,0,24,9,4,3,0,0,5,1,WIN
Magic,Pulse,3.3,43.1,6.1,50.7,0,28.627907,17.7,5.7,5.7,50.1,12.2,155.8,11.2,0,102.5,4.9,54.2,181.6,0,52.2,11,102.5,57.3,2.4,1.2,9.72028,1,1,3.1,0,8.1,809,4.9,24.7,68.5,39.7,65.3,11,5.2,0,26.4,5.8,2.4,0.6,0,0,25.8,5,5.63,31.27,10.25,46.31,0,31.219666,25.75,8.43,4.21,52.69,17.51,152.97,8.66,0.91,77.5,4.93,45.22,153.56,0,47.37,10.14,77.5,52.83,0.93,3.99,13.690909,1.89,0,1.91,0,11.31,803,4.93,29.68,61.49,36.17,52.96,10.03,9.84,0,35.44,6.64,3.72,0.92,0,0,14.16,0.88,WIN
Steel,Mystics,11.86,46.67,7.47,50.38,0,33.266708,18.04,9.09,4.35,50.04,11.69,165.23,13.22,0.94,100.25,1.13,55.28,183.89,0,61.96,9.62,100.25,62.74,1.02,3.78,26.286878,1,0,1.09,0,8.6,808,1.13,20.96,75.96,40.75,65.71,4.31,5.03,0,22,8.88,0.36,0.44,0,0,39.2,4.16,15.13,36.26,11.41,54.96,0,31.812088,27.15,6.56,2.78,50.68,14.77,188.86,22.44,0.9,90.97,6.98,46.73,182.51,0,53.42,13.32,90.97,57.98,0.38,3.73,41.004384,0.11,1.03,7.4,0,10.31,805,6.98,33.32,80.42,41.64,65.22,16.97,4.71,0,20.48,11.12,6.08,7.36,0,0,29.56,3.48,LOSS
