@relation out

@attribute home {Mystics,Pulse,Stars,Steel,Magic,Tactix}
@attribute away {Steel,Magic,Tactix,Stars,Pulse,Mystics}
@attribute rea numeric
@attribute gfcpa numeric
@attribute gfta numeric
@attribute pa numeric
@attribute tipa numeric
@attribute ga numeric
@attribute posa numeric
@attribute oraa numeric
@attribute gma numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute ba numeric
@attribute passa numeric
@attribute gaa numeric
@attribute da numeric
@attribute tuwa numeric
@attribute cpra numeric
@attribute opa numeric
@attribute fea numeric
@attribute goalsa numeric
@attribute offa numeric
@attribute badpa numeric
@attribute dra numeric
@attribute breaka numeric
@attribute blocka numeric
@attribute badha numeric
@attribute mgta numeric
@attribute gfga numeric
@attribute sia numeric
@attribute goalaa numeric
@attribute deflaa numeric
@attribute cpa numeric
@attribute turna numeric
@attribute picka numeric
@attribute intera numeric
@attribute rb numeric
@attribute gfcpb numeric
@attribute gftb numeric
@attribute penb numeric
@attribute tipb numeric
@attribute gainb numeric
@attribute possb numeric
@attribute orb numeric
@attribute gmb numeric
@attribute bb numeric
@attribute passb numeric
@attribute gaaaab numeric
@attribute dispb numeric
@attribute tuwb numeric
@attribute cprb numeric
@attribute opb numeric
@attribute feedb numeric
@attribute goalsb numeric
@attribute offb numeric
@attribute bpb numeric
@attribute drb numeric
@attribute breakb numeric
@attribute blockb numeric
@attribute bhb numeric
@attribute mgtb numeric
@attribute gfgb numeric
@attribute sib numeric
@attribute gab numeric
@attribute deflb numeric
@attribute turnb numeric
@attribute pickb numeric
@attribute interb numeric
@attribute result {LOSS,WIN}

@data
Mystics,Steel,10,35,7,42,0,26.923077,24,17,8,46,10,166,21,0,79,5,38,161,0,50,9,79,47,2,4,28.571429,2,4,2,0,5,805,5,29,68,33,60,14,3,0,7,32,9,43,0,31.034483,22,9,3,54,17,179,17,4,98,5,47,191,0,49,17,98,55,3,9,11.764706,1,0,1,0,14,808,5,26,72,25,64,17,8,0,LOSS
Pulse,Magic,5,22,17,59,0,34.693878,37,15,16,49,23,150,11,1,64,7,40,137,0,39,6,64,45,3,3,9.090909,0,0,2,0,6,803,7,43,56,53,49,13,12,0,6,17,7,66,0,16.27907,42,12,12,51,23,136,13,0,71,4,29,133,0,36,20,71,33,6,3,15.384615,1,1,4,0,9,809,4,49,46,46,41,11,16,0,WIN
Stars,Tactix,11,46,8,69,0,33.333333,20,10,3,48,11,175,12,0,101,1,49,187,0,61,8,101,61,3,7,66.666667,0,0,2,0,7,802,1,23,73,61,62,9,7,0,11,47,10,55,0,43.478261,18,11,7,52,9,175,19,0,100,3,51,192,0,60,7,100,60,7,3,31.578947,0,0,3,0,3,8120,3,24,79,48,66,7,3,0,WIN
Pulse,Steel,5,22,17,59,0,34.693878,37,15,16,49,23,150,11,1,64,7,40,137,0,39,6,64,45,3,3,9.090909,0,0,2,0,6,803,7,43,56,53,49,13,12,0,7,32,9,43,0,31.034483,22,9,3,54,17,179,17,4,98,5,47,191,0,49,17,98,55,3,9,11.764706,1,0,1,0,14,808,5,26,72,25,64,17,8,0,WIN
Mystics,Tactix,10,35,7,42,0,26.923077,24,17,8,46,10,166,21,0,79,5,38,161,0,50,9,79,47,2,4,28.571429,2,4,2,0,5,805,5,29,68,33,60,14,3,0,11,47,10,55,0,43.478261,18,11,7,52,9,175,19,0,100,3,51,192,0,60,7,100,60,7,3,31.578947,0,0,3,0,3,8120,3,24,79,48,66,7,3,0,WIN
Mystics,Stars,8.4,26.2,9.4,41.2,0,27.006237,29.6,21,11.2,50.8,14,134.8,13,0.8,83.8,1,37.2,153,0,41.2,6.6,83.8,43,2.8,0.8,27.532468,2,0.8,3.6,0,7.4,802.6,1,33.8,56,33.8,51.2,6,8.6,0,11,46,8,69,0,33.333333,20,10,3,48,11,175,12,0,101,1,49,187,0,61,8,101,61,3,7,66.666667,0,0,2,0,7,802,1,23,73,61,62,9,7,0,WIN
Pulse,Tactix,2.6,40.4,13,66.2,0,38.938776,25,12.6,7.2,49.8,14.2,152.4,6.2,0.2,80,4.6,54.4,156.2,0,49.4,10.8,80,58.6,0.6,3.8,33.818182,0.8,0,1.2,0,5.2,803,4.6,28.6,64.8,55.4,60.2,10.6,8.8,0,7.8,24.6,6.8,63.8,0,22.409938,26.8,11,9.4,48.8,20.2,155,17.4,0,85.6,6.2,38.2,158.4,0,42.4,15,85.6,43.2,4.6,1.4,20.433437,0.8,0.8,2.2,0,11.8,2268,6.2,34.4,60.6,48.8,51.6,15,10.2,0,LOSS
Steel,Magic,10.2,34.4,11.4,60.6,0,44.606897,26.8,9.8,7,50.8,9.8,160.6,15.4,0.8,86,2.6,40.6,167.8,0,52.2,15.4,86,51.8,1.4,2.6,50.352941,1,0,1.8,0,6,808,2.6,29.2,67.2,45,55.2,8.2,5.6,0,6,17,7,66,0,16.27907,42,12,12,51,23,136,13,0,71,4,29,133,0,36,20,71,33,6,3,15.384615,1,1,4,0,9,809,4,49,46,46,41,11,16,0,WIN
Magic,Pulse,3.6,40.2,6.2,52.4,0,27.255814,20.4,6.4,6.4,50.2,13.4,153.6,11.4,0,99,4.8,51.4,176.2,0,50.4,12,99,54.6,2.8,1.4,10.34965,1,1,3.2,0,8.2,809,4.8,27.4,66,40.4,62.6,11,6.4,0,6.92,31.28,9,62.84,0,29.121088,26.6,10.52,9.44,47.56,14.04,143.28,12.44,0.04,88.8,5.72,42.08,157.64,0,45.88,9.36,88.8,46.92,0.92,2.36,29.620779,0.16,0.8,2.64,0,6.64,802.2,5.72,32.12,59.36,52.68,55.24,10.92,4.96,0,WIN
Steel,Mystics,11.64,45.28,7.88,51.32,0,34.375925,18.96,9.16,4.6,50.16,11.56,164.92,13.48,0.96,98.8,1.32,53.72,182.36,0,60.84,10.28,98.8,61.56,1.08,3.72,28.532127,1,0,1.16,0,8.4,808,1.32,21.84,75.04,41,64.64,4.84,5.12,0,14.48,35.64,11.48,51.44,0,32.067914,27.52,9,3.84,50.96,14,181.36,21,0.96,90.36,5.8,45.84,179.4,0,52.24,11.72,90.36,56.6,0.56,3.36,40.289102,0.4,0.96,7.12,0,9.48,804.52,5.8,33.16,77.6,39.56,63.84,14.8,4.92,0,LOSS
Tactix,Stars,6.36,28.92,9.36,47.96,0,28.724412,26.16,8.6,5.08,52.16,18.44,153.4,10.68,0.8,78.72,5.24,42.84,154.08,0,46.08,11,78.72,50.24,1.72,3.48,12.975576,1.76,0.16,2.04,0,11.96,1096,5.24,30.88,60.92,36.96,51.92,11,10.04,0,9.4,35.6,13.6,69,0,43.030303,29.6,9.2,3.8,48.8,8.6,162.2,12,0.8,84.2,1.8,49.8,167.8,0,56.2,15.2,84.2,55.4,2.2,5.4,40,0.8,0.8,4.4,0,6.2,6656.4,1.8,33.4,67.4,53.8,62,8.2,3,0,WIN
Stars,Magic,5.88,35.12,9.12,64.2,0,30.675026,21.92,12.24,3.96,51.36,13.72,155.64,13.6,0.96,78.44,5.16,45.96,157.56,0,48.04,15.84,78.44,49.48,3.64,4.28,19.428571,0.96,0.96,2.48,0,5.24,7827.28,5.16,29.08,63.08,45.16,59.6,11.24,6.2,0,5.52,37.64,12.44,61.68,0,38.392339,22.48,7.68,6.08,53.24,13.08,161.92,9.48,0,87.8,3.36,55.88,174.44,0,50.08,15.2,87.8,59.72,0.56,1.88,28.736597,1,0.2,4.64,0,9.64,804.2,3.36,27.88,69.2,46.48,65.32,9.4,6.88,0,WIN
Tactix,Mystics,10.072,29.784,10.672,58.392,0,37.173454,26.032,14.52,6.616,48.832,14.088,149.88,10.936,0.96,80.544,2.648,43.768,154.016,0,47.616,13.4,80.544,49.248,5.144,4.696,24.413297,1.952,0.832,1.208,0,8.792,860.8,2.648,29.376,60.184,44.192,53.584,10.2,5.208,0,10.896,35.928,11.096,50.288,0,37.842154,26.304,13,8.768,50.992,14,165.872,12.2,0.192,78.872,2.76,48.368,163.88,0,51.248,6.344,78.872,56.12,3.312,3.072,48.05782,2.48,0.192,2.224,0,9.096,807.304,2.76,28.232,68.32,43.912,60.768,9.36,6.584,0,LOSS
Pulse,Steel,5.384,30.256,7.4,63.768,0,25.824218,28.52,8.504,7.488,46.312,16.408,139.856,8.888,0.008,88.96,5.944,43.616,155.528,0,46.776,12.272,88.96,46.184,1.784,5.272,5.924156,0.832,0.16,6.928,0,8.528,807.64,5.944,33.624,55.072,51.336,52.648,9.384,5.792,0,3.928,37.856,7.176,53.464,0,27.615926,22.192,12.232,6.52,49.232,14.312,151.384,11.496,0.192,86.16,3.464,48.344,166.072,0,50.568,8.456,86.16,53.912,1.816,3.144,12.979153,0.2,0,3.432,0,8.88,805.6,3.464,26.768,65.408,45,59.328,5.768,9.024,0,WIN
Steel,Stars,7.1856,31.5712,5.4352,49.0928,0,21.523185,32.4384,10.4464,12.504,45.8464,12.4624,140.6768,15.0992,0.0384,78.032,2.2928,39.2688,146.0144,0,51.7136,11.2912,78.032,42.7824,0.3632,6.2288,17.595831,0.04,0,0.6864,0,5.776,807.52,2.2928,37.3536,57.8816,37,52.6656,5.9536,6.6048,0,6.776,37.424,12.224,56.84,0,35.023894,25.184,7.248,7.192,51.872,17.144,161.528,8.32,0.192,92.488,1.032,57.192,175.512,0,51.208,9.568,92.488,61.096,1.528,4.856,15.314286,2.592,0.192,3.696,0,11.448,2212.656,1.032,29.816,69.416,46.632,67.12,8.648,10.84,0,WIN
Mystics,Pulse,6.1792,35.1856,11.0192,62.0576,0,42.768431,21.2608,10.6,8.9536,50.9984,11.6,171.5744,16.04,0.0384,78.9744,6.152,41.6736,163.976,0,51.8496,18.8688,78.9744,53.624,0.6624,4.6144,28.435093,0.496,0.8384,1.2448,0,7.4192,805.4608,6.152,24.8464,69.664,43.1824,58.5536,17.872,3.7168,0,8.2768,37.2512,11.08,48.7536,0,29.164844,21.704,9.7008,6.2976,53.2624,23.2816,186.3712,12.9776,0.0016,88.992,6.7888,57.5232,184.7056,0,53.3552,8.8544,88.992,66.0368,2.7568,2.6544,29.75626,0.9664,0.032,2.1856,0,17.7056,803.928,6.7888,26.7248,79.0144,38.2672,71.3296,9.8768,12.3584,0,WIN
Tactix,Magic,13.2144,34.7568,2.9344,51.6784,0,10.768024,23.6064,14.904,3.7232,48.9664,15.6176,153.176,14.1872,0.992,76.9088,3.7296,40.7536,152.4032,0,45.5232,13.08,76.9088,49.0496,1.0288,6.5392,52.882659,0.3904,0.1664,2.6416,0,11.3584,813.76,3.7296,25.8752,63.2368,38.4384,53.1168,8.44,8.2416,0,5.104,40.328,7.288,65.936,0,23.678468,27.696,11.136,10.816,49.048,13.016,153.984,12.296,0,89.56,2.272,50.376,168.488,0,51.616,9.44,89.56,54.344,0.112,5.176,18.055012,1,0.04,2.528,0,6.728,6656.84,2.272,34.376,66.64,56.496,63.464,8.28,7.776,0,LOSS
