@relation out

@attribute home {Mystics,Pulse,Stars,Steel,Magic,Tactix}
@attribute away {Steel,Magic,Tactix,Stars,Pulse,Mystics}
@attribute rea numeric
@attribute gfcpa numeric
@attribute gfta numeric
@attribute pa numeric
@attribute tipa numeric
@attribute ga numeric
@attribute posa numeric
@attribute oraa numeric
@attribute gma numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute ba numeric
@attribute passa numeric
@attribute gaa numeric
@attribute da numeric
@attribute tuwa numeric
@attribute cpra numeric
@attribute opa numeric
@attribute fea numeric
@attribute goalsa numeric
@attribute offa numeric
@attribute badpa numeric
@attribute dra numeric
@attribute breaka numeric
@attribute blocka numeric
@attribute badha numeric
@attribute mgta numeric
@attribute gfga numeric
@attribute sia numeric
@attribute goalaa numeric
@attribute deflaa numeric
@attribute cpa numeric
@attribute turna numeric
@attribute picka numeric
@attribute intera numeric
@attribute rb numeric
@attribute gfcpb numeric
@attribute gftb numeric
@attribute penb numeric
@attribute tipb numeric
@attribute gainb numeric
@attribute possb numeric
@attribute orb numeric
@attribute gmb numeric
@attribute bb numeric
@attribute passb numeric
@attribute gasdfb numeric
@attribute dispb numeric
@attribute tuwb numeric
@attribute cprb numeric
@attribute opb numeric
@attribute feedb numeric
@attribute goalsb numeric
@attribute offb numeric
@attribute bpb numeric
@attribute drb numeric
@attribute breakb numeric
@attribute blockb numeric
@attribute bhb numeric
@attribute mgtb numeric
@attribute gfgb numeric
@attribute sib numeric
@attribute gab numeric
@attribute deflb numeric
@attribute turnb numeric
@attribute pickb numeric
@attribute interb numeric
@attribute result {LOSS,WIN}

@data
Mystics,Steel,10,35,7,42,0,26.923077,24,17,8,46,10,166,21,0,79,5,38,161,0,50,9,79,47,2,4,28.571429,2,4,2,0,5,805,5,29,68,33,60,14,3,0,7,32,9,43,0,31.034483,22,9,3,54,17,179,17,4,98,5,47,191,0,49,17,98,55,3,9,11.764706,1,0,1,0,14,808,5,26,72,25,64,17,8,0,LOSS
Pulse,Magic,5,22,17,59,0,34.693878,37,15,16,49,23,150,11,1,64,7,40,137,0,39,6,64,45,3,3,9.090909,0,0,2,0,6,803,7,43,56,53,49,13,12,0,6,17,7,66,0,16.27907,42,12,12,51,23,136,13,0,71,4,29,133,0,36,20,71,33,6,3,15.384615,1,1,4,0,9,809,4,49,46,46,41,11,16,0,WIN
Stars,Tactix,11,46,8,69,0,33.333333,20,10,3,48,11,175,12,0,101,1,49,187,0,61,8,101,61,3,7,66.666667,0,0,2,0,7,802,1,23,73,61,62,9,7,0,11,47,10,55,0,43.478261,18,11,7,52,9,175,19,0,100,3,51,192,0,60,7,100,60,7,3,31.578947,0,0,3,0,3,8120,3,24,79,48,66,7,3,0,WIN
Pulse,Steel,5,22,17,59,0,34.693878,37,15,16,49,23,150,11,1,64,7,40,137,0,39,6,64,45,3,3,9.090909,0,0,2,0,6,803,7,43,56,53,49,13,12,0,7,32,9,43,0,31.034483,22,9,3,54,17,179,17,4,98,5,47,191,0,49,17,98,55,3,9,11.764706,1,0,1,0,14,808,5,26,72,25,64,17,8,0,WIN
Mystics,Tactix,10,35,7,42,0,26.923077,24,17,8,46,10,166,21,0,79,5,38,161,0,50,9,79,47,2,4,28.571429,2,4,2,0,5,805,5,29,68,33,60,14,3,0,11,47,10,55,0,43.478261,18,11,7,52,9,175,19,0,100,3,51,192,0,60,7,100,60,7,3,31.578947,0,0,3,0,3,8120,3,24,79,48,66,7,3,0,WIN
Mystics,Stars,8.8,28.4,8.8,41.4,0,26.985447,28.2,20,10.4,49.6,13,142.6,15,0.6,82.6,2,37.4,155,0,43.4,7.2,82.6,44,2.6,1.6,27.792208,2,1.6,3.2,0,6.8,803.2,2,32.6,59,33.6,53.4,8,7.2,0,11,46,8,69,0,33.333333,20,10,3,48,11,175,12,0,101,1,49,187,0,61,8,101,61,3,7,66.666667,0,0,2,0,7,802,1,23,73,61,62,9,7,0,WIN
Pulse,Tactix,3.2,35.8,14,64.4,0,37.877551,28,13.2,9.4,49.6,16.4,151.8,7.4,0.4,76,5.2,50.8,151.4,0,46.8,9.6,76,55.2,1.2,3.6,27.636364,0.6,0,1.4,0,5.4,803,5.2,32.2,62.6,54.8,57.4,11.2,9.6,0,8.6,30.2,7.6,61.6,0,27.677019,24.6,11,8.8,49.6,17.4,160,17.8,0,89.2,5.4,41.4,166.8,0,46.8,13,89.2,47.4,5.2,1.8,23.219814,0.6,0.6,2.4,0,9.6,3731,5.4,31.8,65.2,48.6,55.2,13,8.4,0,LOSS
Steel,Magic,9.4,33.8,10.8,56.2,0,41.213793,25.6,9.6,6,51.6,11.6,165.2,15.8,1.6,89,3.2,42.2,173.6,0,51.4,15.8,89,52.6,1.8,4.2,40.705882,1,0,1.6,0,8,808,3.2,28.4,68.4,40,57.4,10.4,6.2,0,6,17,7,66,0,16.27907,42,12,12,51,23,136,13,0,71,4,29,133,0,36,20,71,33,6,3,15.384615,1,1,4,0,9,809,4,49,46,46,41,11,16,0,WIN
Magic,Pulse,4.2,34.4,6.4,55.8,0,24.511628,25.8,7.8,7.8,50.4,15.8,149.2,11.8,0,92,4.6,45.8,165.4,0,46.8,14,92,49.2,3.6,1.8,11.608392,1,1,3.4,0,8.4,809,4.6,32.8,61,41.8,57.2,11,8.8,0,6.08,31.72,10.4,62.96,0,31.15102,27.4,11.28,9.76,48.04,14.96,145.32,11.36,0.16,85,5.68,43.72,155.36,0,45.72,9.24,85,48.48,1.08,2.64,28.197403,0.24,0.6,2.36,0,6.36,802.4,5.68,32.68,59.84,53.12,55.36,11.08,6.24,0,WIN
Steel,Mystics,10.96,42.32,8.52,51.88,0,35.576426,20.44,9.24,4.8,50.64,11.84,165.68,14.12,1.24,96.8,1.88,51.08,181.04,0,58.36,11.72,96.8,59.44,1.32,4.08,30.128507,1,0,1.24,0,8.6,808,1.88,23.36,73.56,40,63.16,6.56,5.48,0,13.12,34.16,10.72,48.96,0,30.794179,27.48,11.6,5.36,50.44,13.6,172.84,19.8,0.84,88.24,5,43.76,173.6,0,50.36,10.68,88.24,53.6,1.04,3.04,37.20384,0.8,1.24,6.08,0,8.72,804.28,5,32.84,73.4,38.04,61.56,13.4,5.28,0,LOSS
Tactix,Stars,7.04,30.08,9.04,51.04,0,29.252626,25.44,9.2,5.92,51.64,17.76,155.8,12.52,0.6,81.88,5.16,42.96,158.52,0,46.92,11.2,81.88,50.16,2.68,3.12,15.954592,1.44,0.24,2.16,0,11.04,1974.2,5.16,30.72,62.68,39.84,53.28,11.2,9.36,0,9.8,38.2,12.2,69,0,40.606061,27.2,9.4,3.6,48.6,9.2,165.4,12,0.6,88.4,1.6,49.6,172.6,0,57.4,13.4,88.4,56.8,2.4,5.8,46.666667,0.6,0.6,3.8,0,6.4,5192.8,1.6,30.8,68.8,55.6,62,8.4,4,0,WIN
Stars,Magic,6.92,36.28,9.68,65.4,0,32.794148,22.88,11.56,3.84,50.64,12.68,158.56,13.2,0.84,81.56,4.24,46.84,162.04,0,50.56,14.96,81.56,51.52,3.36,4.72,27.238095,0.84,0.84,2.72,0,5.56,6949.12,4.24,29.12,64.72,48.04,60.2,10.56,5.8,0,5.28,35.96,10.96,60.72,0,34.510534,24.12,7.92,6.72,52.56,14.12,158.08,10.12,0,87.8,3.64,52.52,170.56,0,48.72,15.2,87.8,56.28,1.44,1.92,24.643357,1,0.4,4.36,0,9.36,805.4,3.64,29.92,66.4,45.52,62.48,9.8,7.72,0,WIN
Tactix,Mystics,9.416,30.032,10.216,57.016,0,35.272479,25.776,13.28,6.568,49.456,14.904,151.72,11.608,0.84,81.352,3.264,43.584,155.808,0,47.568,12.88,81.352,49.464,4.672,4.248,22.745473,1.776,0.696,1.464,0,9.216,1270.88,3.264,29.688,61.072,43.536,53.712,10.48,6.144,0,11.248,35.264,10.888,49.584,0,35.8891,26.592,13.04,8.144,50.776,13.84,166.336,13.92,0.336,80.896,3.2,46.904,165.44,0,50.744,7.272,80.896,55.04,2.816,3.016,44.881536,2.12,0.496,3.032,0,8.888,806.512,3.2,29.336,68.96,42.216,60.624,10.16,6.312,0,LOSS
Pulse,Steel,5.432,30.688,8.36,63.584,0,27.460408,28.36,9.312,8.104,46.816,16.184,141.528,9.344,0.064,87.4,5.872,43.888,155.144,0,46.488,11.496,87.4,46.992,1.632,4.656,11.278961,0.696,0.24,5.744,0,7.944,806.36,5.872,33.472,56.336,51.848,53.344,9.832,6.096,0,5.584,38.528,7.608,53.152,0,29.786126,21.976,11.496,6.12,49.656,13.736,155.072,12.248,0.496,88.52,3.152,48.632,169.616,0,52.144,9.488,88.52,54.976,1.728,3.432,17.505948,0.4,0,2.896,0,8.84,806.2,3.152,26.144,67.224,43.6,60.064,6.224,8.192,0,WIN
Steel,Stars,7.0336,33.4112,6.0432,50.0608,0,23.91445,29.7904,10.5984,10.848,46.8624,12.6944,144.8288,14.4992,0.1984,81.008,2.4608,41.6528,152.4464,0,52.0576,10.9952,81.008,45.9904,0.6912,5.5728,18.252379,0.16,0,1.1584,0,6.536,807.28,2.4608,34.4576,60.4896,38.44,54.6256,6.0896,6.8768,0,6.968,37.312,11.672,59.16,0,34.784326,24.752,8.224,6.336,51.456,15.872,161.224,9.48,0.336,90.224,1.696,54.736,172.816,0,51.424,10.784,90.224,59.008,1.944,4.888,19.466667,2.136,0.336,3.488,0,10.024,3265.048,1.696,29.648,68.488,47.416,65.48,9.024,9.52,0,WIN
Mystics,Pulse,7.4992,35.1056,10.9552,58.8336,0,40.75564,22.6368,11.216,8.6576,50.9104,12.136,170.3344,15.768,0.1344,79.7584,5.48,42.7616,164.576,0,51.4976,16.1088,79.7584,53.816,1.1264,4.2064,32.070261,0.848,0.7984,1.8128,0,7.7552,805.6048,5.48,26.1344,69.584,42.6864,59.0496,16.064,4.3248,0,7.5728,35.6752,10.544,52.4336,0,28.984163,23.344,9.7248,6.8416,51.7264,21.4736,175.4112,12.1376,0.0256,88.36,6.5488,54.1552,177.2576,0,51.5952,9.3984,88.36,61.3968,2.4528,3.0624,25.940156,0.8784,0.096,2.8976,0,15.1776,804.344,6.5488,28.3888,73.5344,41.7392,66.9376,9.9328,10.8384,0,WIN
Tactix,Magic,12.1664,33.6128,4.6864,52.8064,0,16.608992,24.1104,14.312,4.4272,49.1824,15.5616,153.088,13.6432,0.936,78.1408,3.7056,41.4336,153.5232,0,46.0272,12.952,78.1408,49.1856,1.8688,5.8992,45.098189,0.7104,0.2784,2.3856,0,10.8864,989.552,3.7056,26.8752,62.8288,39.6144,53.2848,8.992,7.8576,0,5.112,38.984,7.984,64.488,0,25.804213,27.048,10.368,9.888,49.824,13.448,154.432,11.848,0,89.12,2.656,50.408,168.424,0,50.688,10.88,89.12,54.312,0.576,4.368,19.088112,1,0.16,2.944,0,7.344,5194.16,2.656,33.568,66.16,53.608,62.792,8.72,7.888,0,LOSS
