@relation out

@attribute home {Mystics,Pulse,Stars,Steel,Magic,Tactix}
@attribute away {Steel,Magic,Tactix,Stars,Pulse,Mystics}
@attribute rea numeric
@attribute gfcpa numeric
@attribute gfta numeric
@attribute pa numeric
@attribute tipa numeric
@attribute ga numeric
@attribute posa numeric
@attribute oraa numeric
@attribute gma numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute ba numeric
@attribute passa numeric
@attribute gaa numeric
@attribute da numeric
@attribute tuwa numeric
@attribute cpra numeric
@attribute opa numeric
@attribute fea numeric
@attribute goalsa numeric
@attribute offa numeric
@attribute badpa numeric
@attribute dra numeric
@attribute breaka numeric
@attribute blocka numeric
@attribute badha numeric
@attribute mgta numeric
@attribute gfga numeric
@attribute sia numeric
@attribute goalaa numeric
@attribute deflaa numeric
@attribute cpa numeric
@attribute turna numeric
@attribute picka numeric
@attribute intera numeric
@attribute rb numeric
@attribute gfcpb numeric
@attribute gftb numeric
@attribute penb numeric
@attribute tipb numeric
@attribute gainb numeric
@attribute possb numeric
@attribute orb numeric
@attribute gmb numeric
@attribute bb numeric
@attribute passb numeric
@attribute gasdfb numeric
@attribute dispb numeric
@attribute tuwb numeric
@attribute cprb numeric
@attribute opb numeric
@attribute feedb numeric
@attribute goalsb numeric
@attribute offb numeric
@attribute bpb numeric
@attribute drb numeric
@attribute breakb numeric
@attribute blockb numeric
@attribute bhb numeric
@attribute mgtb numeric
@attribute gfgb numeric
@attribute sib numeric
@attribute gab numeric
@attribute deflb numeric
@attribute turnb numeric
@attribute pickb numeric
@attribute interb numeric
@attribute result {LOSS,WIN}

@data
Mystics,Steel,10,35,7,42,0,26.923077,24,17,8,46,10,166,21,0,79,5,38,161,0,50,9,79,47,2,4,28.571429,2,4,2,0,5,805,5,29,68,33,60,14,3,0,7,32,9,43,0,31.034483,22,9,3,54,17,179,17,4,98,5,47,191,0,49,17,98,55,3,9,11.764706,1,0,1,0,14,808,5,26,72,25,64,17,8,0,LOSS
Pulse,Magic,5,22,17,59,0,34.693878,37,15,16,49,23,150,11,1,64,7,40,137,0,39,6,64,45,3,3,9.090909,0,0,2,0,6,803,7,43,56,53,49,13,12,0,6,17,7,66,0,16.27907,42,12,12,51,23,136,13,0,71,4,29,133,0,36,20,71,33,6,3,15.384615,1,1,4,0,9,809,4,49,46,46,41,11,16,0,WIN
Stars,Tactix,11,46,8,69,0,33.333333,20,10,3,48,11,175,12,0,101,1,49,187,0,61,8,101,61,3,7,66.666667,0,0,2,0,7,802,1,23,73,61,62,9,7,0,11,47,10,55,0,43.478261,18,11,7,52,9,175,19,0,100,3,51,192,0,60,7,100,60,7,3,31.578947,0,0,3,0,3,8120,3,24,79,48,66,7,3,0,WIN
Pulse,Steel,5,22,17,59,0,34.693878,37,15,16,49,23,150,11,1,64,7,40,137,0,39,6,64,45,3,3,9.090909,0,0,2,0,6,803,7,43,56,53,49,13,12,0,7,32,9,43,0,31.034483,22,9,3,54,17,179,17,4,98,5,47,191,0,49,17,98,55,3,9,11.764706,1,0,1,0,14,808,5,26,72,25,64,17,8,0,WIN
Mystics,Tactix,10,35,7,42,0,26.923077,24,17,8,46,10,166,21,0,79,5,38,161,0,50,9,79,47,2,4,28.571429,2,4,2,0,5,805,5,29,68,33,60,14,3,0,11,47,10,55,0,43.478261,18,11,7,52,9,175,19,0,100,3,51,192,0,60,7,100,60,7,3,31.578947,0,0,3,0,3,8120,3,24,79,48,66,7,3,0,WIN
Mystics,Stars,8.2,25.1,9.7,41.1,0,27.016632,30.3,21.5,11.6,51.4,14.5,130.9,12,0.9,84.4,0.5,37.1,152,0,40.1,6.3,84.4,42.5,2.9,0.4,27.402597,2,0.4,3.8,0,7.7,802.3,0.5,34.4,54.5,33.9,50.1,5,9.3,0,11,46,8,69,0,33.333333,20,10,3,48,11,175,12,0,101,1,49,187,0,61,8,101,61,3,7,66.666667,0,0,2,0,7,802,1,23,73,61,62,9,7,0,WIN
Pulse,Tactix,2.3,42.7,12.5,67.1,0,39.469388,23.5,12.3,6.1,49.9,13.1,152.7,5.6,0.1,82,4.3,56.2,158.6,0,50.7,11.4,82,60.3,0.3,3.9,36.909091,0.9,0,1.1,0,5.1,803,4.3,26.8,65.9,55.7,61.6,10.3,8.4,0,7.4,21.8,6.4,64.9,0,19.776398,27.9,11,9.7,48.4,21.6,152.5,17.2,0,83.8,6.6,36.6,154.2,0,40.2,16,83.8,41.1,4.3,1.2,19.040248,0.9,0.9,2.1,0,12.9,1536.5,6.6,35.7,58.3,48.9,49.8,16,11.1,0,LOSS
Steel,Magic,10.6,34.7,11.7,62.8,0,46.303448,27.4,9.9,7.5,50.4,8.9,158.3,15.2,0.4,84.5,2.3,39.8,164.9,0,52.6,15.2,84.5,51.4,1.2,1.8,55.176471,1,0,1.9,0,5,808,2.3,29.6,66.6,47.5,54.1,7.1,5.3,0,6,17,7,66,0,16.27907,42,12,12,51,23,136,13,0,71,4,29,133,0,36,20,71,33,6,3,15.384615,1,1,4,0,9,809,4,49,46,46,41,11,16,0,WIN
Magic,Pulse,3.3,43.1,6.1,50.7,0,28.627907,17.7,5.7,5.7,50.1,12.2,155.8,11.2,0,102.5,4.9,54.2,181.6,0,52.2,11,102.5,57.3,2.4,1.2,9.72028,1,1,3.1,0,8.1,809,4.9,24.7,68.5,39.7,65.3,11,5.2,0,7.43,30.37,8.45,62.51,0,27.946939,26.65,10.23,9.61,47.29,13.91,142.17,13.16,0.01,90.1,5.83,40.72,158.06,0,45.57,9.24,90.1,45.63,0.93,2.19,29.405195,0.09,0.9,2.81,0,6.81,802.1,5.83,32.38,58.79,52.37,54.76,10.93,4.44,0,WIN
Steel,Mystics,11.86,46.67,7.47,50.38,0,33.266708,18.04,9.09,4.35,50.04,11.69,165.23,13.22,0.94,100.25,1.13,55.28,183.89,0,61.96,9.62,100.25,62.74,1.02,3.78,26.286878,1,0,1.09,0,8.6,808,1.13,20.96,75.96,40.75,65.71,4.31,5.03,0,15.22,36.71,11.77,52.71,0,32.701663,27.33,7.55,2.96,51.04,14.05,186.79,21.9,0.99,91.24,6.35,46.91,182.6,0,53.51,12.33,91.24,58.25,0.29,3.64,41.870695,0.2,0.94,7.58,0,9.77,804.73,6.35,33.14,80.15,40.29,65.31,15.8,4.53,0,LOSS
Tactix,Stars,6.14,29.18,9.64,46.09,0,29.250367,26.19,8.3,4.57,52.54,18.36,152.95,9.82,0.9,77.68,5.16,43.26,153.12,0,46.32,10.6,77.68,50.91,1.33,3.72,11.904025,1.89,0.09,2.01,0,12.09,876.35,5.16,30.57,60.73,35.49,51.78,10.6,10.11,0,9.2,34.3,14.3,69,0,44.242424,30.8,9.1,3.9,48.9,8.3,160.6,12,0.9,82.1,1.9,49.9,165.4,0,55.6,16.1,82.1,54.7,2.1,5.2,36.666667,0.9,0.9,4.7,0,6.1,7388.2,1.9,34.7,66.7,52.9,62,8.1,2.5,0,WIN
Stars,Magic,5.42,34.93,8.63,63.6,0,29.251829,21.08,12.61,3.99,51.69,14.33,154.66,13.8,0.99,77.51,5.59,45.49,156.04,0,46.96,16.01,77.51,48.67,3.81,4.12,16.52381,0.99,0.99,2.27,0,5.11,8046.82,5.59,28.67,62.47,43.99,59.3,11.61,6.55,0,5.73,37.61,13.21,62.67,0,39.921614,22.47,7.77,5.97,53.61,12.92,163.18,9.22,0,86.75,3.19,56.72,174.76,0,50.22,15.5,86.75,60.63,0.24,1.92,30.972028,1,0.1,4.81,0,9.81,803.6,3.19,27.67,69.85,47.17,65.93,9.2,6.82,0,WIN
Tactix,Mystics,10.514,29.918,10.864,59.509,0,38.28218,26.019,15.23,6.757,48.454,13.536,149.395,10.882,0.99,80.668,2.316,43.926,153.912,0,47.832,13.66,80.668,49.191,5.533,4.872,25.735857,1.989,0.909,1.101,0,8.409,809.435,2.316,29.157,60.073,44.949,53.778,10.06,4.611,0,10.522,36.071,11.077,50.271,0,38.627309,26.133,13.355,9.296,51.004,14.005,164.479,11.19,0.099,77.524,2.435,48.791,162.26,0,51.251,5.733,77.524,56.225,3.629,3.064,49.187069,2.72,0.094,1.658,0,9.077,807.673,2.435,27.614,67.415,44.529,60.531,8.78,6.753,0,LOSS
Pulse,Steel,5.243,30.037,7.145,63.851,0,25.294694,28.765,8.223,7.261,46.129,16.691,139.317,8.516,0.001,89.11,5.983,43.672,155.306,0,46.857,12.624,89.11,45.963,1.893,5.619,2.940519,0.909,0.09,7.481,0,8.781,808.31,5.983,33.838,54.479,51.137,52.276,9.193,5.844,0,2.986,37.067,7.047,53.638,0,26.660004,22.504,12.609,6.735,49.104,14.669,149.723,11.222,0.094,84.725,3.713,47.828,164.189,0,49.396,8.162,84.725,53.074,1.902,3.078,10.810506,0.1,0,3.709,0,8.96,805.3,3.713,27.296,64.296,45.475,58.771,5.831,9.503,0,WIN
Steel,Stars,7.4986,30.7067,5.2047,48.5638,0,20.666,33.7504,10.2609,13.2735,45.4104,12.2669,139.1723,15.5222,0.0094,76.8725,2.1713,38.0828,143.3189,0,51.7396,11.6162,76.8725,41.3074,0.1902,6.6078,17.956051,0.01,0,0.3709,0,5.396,807.73,2.1713,38.7296,56.8296,36.0475,51.7771,5.9831,6.3503,0,6.842,37.693,12.563,55.86,0,35.425183,25.508,6.661,7.599,51.969,17.633,162.166,7.68,0.099,94.151,0.559,58.549,177.604,0,51.496,8.801,94.151,62.467,1.281,4.912,14.509524,2.799,0.099,3.827,0,12.211,1532.782,0.559,29.867,70.147,46.699,68.03,8.361,11.455,0,WIN
Mystics,Pulse,5.5522,35.1071,11.0077,63.5271,0,43.462731,20.6133,10.3355,9.0296,51.0004,11.3005,172.1479,16.419,0.0099,78.8524,6.5435,40.8791,163.826,0,51.9251,20.3733,78.8524,53.3225,0.3629,4.8064,26.095178,0.272,0.9094,1.0658,0,7.2077,805.2673,6.5435,24.3614,69.7415,43.1529,58.2531,18.878,3.3753,0,8.6243,38.1037,11.5145,46.8851,0,29.529469,20.8765,9.8223,6.1261,54.1129,24.1691,192.1317,13.4516,0.0001,89.011,6.8983,59.2672,188.3306,0,54.1857,8.4624,89.011,68.4963,2.8893,2.3619,32.436909,0.9909,0.009,1.6481,0,18.8781,803.531,6.8983,25.8838,81.9479,36.6137,73.6276,9.9193,13.1844,0,WIN
Tactix,Magic,13.6514,35.3918,1.9864,50.9509,0,7.578218,23.3019,15.023,3.3757,48.9454,15.7536,153.5395,14.5882,0.999,76.4668,3.8316,40.3926,152.1912,0,45.2832,13.066,76.4668,49.0191,0.5533,6.7872,56.573586,0.1989,0.0909,2.8101,0,11.6409,802.7435,3.8316,25.4157,63.6073,37.7949,53.0778,8.206,8.5611,0,5.073,40.661,6.721,66.567,0,21.992161,28.347,11.577,11.397,48.561,12.992,153.118,12.622,0,89.675,2.119,49.772,167.776,0,51.822,8.75,89.675,53.763,0.024,5.592,16.943357,1,0.01,2.281,0,6.381,7388.36,2.119,35.167,66.385,57.817,63.293,8.12,7.882,0,LOSS
